Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,79,30174,8607571968,0,6,0,483.41333483592973,1822860129,1768126,0,0,1802694656,440111,23421
2,4,4,62,31725,8607571968,0,6,0,517.4303317045491,2051463534,1757097,0,0,2030428160,495710,63191
3,3,5,21,30545,8607571968,0,5,0,502.2848416502947,1917259999,1766905,0,0,1897594880,463280,70001
4,4,4,64,30236,8607571968,0,6,0,491.1656321778248,1855902514,1769762,0,0,1835782144,448189,36247
5,4,4,130,31540,8607571968,0,6,0,510.1140202942669,2010657058,1763727,0,0,1990438912,485947,54147
6,3,4,143,29916,8607571968,0,5,0,483.0709636266381,1805989949,1766313,0,0,1786163200,436075,18333
7,3,5,18,28531,8607571968,0,5,0,470.07380831522124,1675953298,1764744,0,0,1656774656,404486,13419
8,4,5,71,31476,8607571968,0,6,0,525.3329559276794,2066381772,1760048,0,0,2045882368,499483,61456
9,4,5,114,29632,8607571968,0,6,0,503.6160550848888,1864866854,1763119,0,0,1844187136,450241,34573
10,4,5,73,32303,8607571968,0,6,0,512.4020558548517,2068482790,1775463,0,0,2048282624,500069,27206
