Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,87,30858,8607571968,0,6,0,519.6297737732547,2003869720,1758200,0,0,1983930368,484358,54046
2,5,4,73,31750,8607571968,0,7,0,515.927992943993,2047118822,1758173,0,0,2026033152,494637,52104
3,5,5,123,33699,8607571968,0,7,0,540.7355579034843,2277230550,1736136,0,0,2255720448,550713,71368
4,4,5,110,30289,8607571968,0,6,0,520.0407106062607,1968401700,1749198,0,0,1947234304,475399,28558
5,4,4,56,32298,8607571968,0,6,0,518.658174521583,2093480976,1768665,0,0,2072559616,505996,83046
6,5,4,101,31589,8607571968,0,7,0,511.2968971347159,2018451626,1753709,0,0,1998057472,487807,43595
7,4,5,59,31022,8607571968,0,6,0,514.5446071509173,1994741350,1758000,0,0,1974566912,482072,50592
8,4,4,91,31119,8607571968,0,6,0,528.4292383737746,2055047059,1753924,0,0,2035015680,496830,58065
9,4,5,125,30585,8607571968,0,6,0,514.9813279267495,1968303716,1753129,0,0,1948323840,475665,32929
10,4,5,128,30714,8607571968,0,6,0,489.79854348887943,1879940524,1764334,0,0,1860026368,454108,35275
