Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,5,4,90,33065,8607571968,0,7,0,530.5998526360364,2192557780,1769697,0,0,2172387328,530368,47337
2,4,4,110,31523,8607571968,0,6,0,501.64073530251596,1976189382,1795992,0,0,1956204544,477589,39480
3,4,4,134,31097,8607571968,0,6,0,490.4657856109092,1906044174,1806064,0,0,1886105600,460475,22544
4,4,4,136,31369,8607571968,0,6,0,498.93468949465966,1955923407,1802329,0,0,1935921152,472637,26995
5,4,4,95,31231,8607571968,0,6,0,492.2216469081244,1921113261,1800503,0,0,1901195264,464159,20602
6,4,4,113,31198,8607571968,0,6,0,499.6374012951208,1947998727,1793225,0,0,1928093696,470726,67531
7,4,5,106,30632,8607571968,0,6,0,490.79883658210076,1878749586,1802540,0,0,1858895872,453832,15687
8,5,4,113,32543,8607571968,0,7,0,502.84516573957404,2045047420,1800673,0,0,2024886272,494357,38808
9,4,4,97,30832,8607571968,0,6,0,487.5591618009601,1878596820,1804718,0,0,1858723840,453790,22101
10,4,6,110,30829,8607571968,0,6,0,497.11318846316067,1915102566,1801600,0,0,1895186432,462692,23928
