Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,5,5,181,32669,8607571968,0,7,0,515.8150071026206,2105860238,1795632,0,0,2085625856,509186,51322
2,5,4,146,32247,8607571968,0,7,0,510.1799552150855,2056004101,1796914,0,0,2035855360,497035,38732
3,4,4,97,31915,8607571968,0,6,0,507.6463464009276,2024725410,1790756,0,0,2004692992,489427,33428
4,4,4,152,33317,8607571968,0,6,0,512.7372530843815,2134889604,1805406,0,0,2114510848,516238,47943
5,3,4,176,31942,8607571968,0,5,0,498.3576584632726,1989355978,1788804,0,0,1969410048,480813,63224
6,5,5,125,32570,8607571968,0,7,0,513.1034949178566,2088439478,1804832,0,0,2068156416,504921,62885
7,5,4,93,30981,8607571968,0,7,0,532.1166540336378,2060209763,1797269,0,0,2040049664,498059,47467
8,4,4,115,31864,8607571968,0,6,0,507.4803437539234,2020828059,1792741,0,0,2000785408,488473,28390
9,5,4,91,33560,8607571968,0,7,0,516.9841776135415,2168277697,1788758,0,0,2147983360,524410,78172
10,4,4,96,32069,8607571968,0,6,0,510.7688108529549,2047012830,1788320,0,0,2026958848,494863,58298
