Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,5,5,154,29937,8607571968,0,7,0,485.23843832687425,1815307181,1789463,0,0,1795694592,438402,38999
2,5,5,127,32119,8607571968,0,7,0,509.58858267422306,2045403532,1796921,0,0,2025275392,494452,37545
3,4,5,170,32082,8607571968,0,6,0,506.4903782772703,2030624073,1792259,0,0,2010566656,490861,90227
4,5,4,195,33128,8607571968,0,7,0,518.1433046733487,2145159917,1790135,0,0,2124898304,518774,94402
5,4,4,93,32056,8607571968,0,6,0,491.585297142144,1969324083,1794245,0,0,1949368320,475920,20596
6,3,5,160,30630,8607571968,0,5,0,489.33390524081636,1873018972,1800558,0,0,1853194240,452440,12337
7,4,4,86,31741,8607571968,0,6,0,502.6180526199704,1993736232,1793050,0,0,1973743616,481871,34096
8,4,5,147,30839,8607571968,0,6,0,495.95534176558346,1911323466,1788908,0,0,1891528704,461799,54690
9,3,4,165,31137,8607571968,0,5,0,493.9542258054155,1922072230,1798528,0,0,1902170112,464397,14940
10,4,4,172,32018,8607571968,0,6,0,509.25481501842944,2037698046,1794392,0,0,2017607680,492580,39175
