Time,Second,Number of Sorts,State
18:35:03,1,335,
18:35:04,2,122732,
18:35:05,3,124748,
18:35:06,4,161795,
18:35:07,5,174355,
18:35:08,6,174628,
18:35:09,7,174926,
18:35:10,8,175129,
18:35:11,9,174868,
18:35:12,10,175057,
18:35:13,11,138478,
18:35:14,12,165689,
18:35:15,13,174606,
18:35:16,14,174698,
18:35:17,15,175051,
18:35:18,16,175263,
18:35:19,17,165439,
18:35:20,18,164465,
18:35:21,19,163875,
18:35:22,20,164327,
18:35:23,21,164292,
18:35:24,22,164700,
18:35:25,23,164435,
18:35:26,24,128432,
18:35:27,25,129850,
18:35:28,26,147260,
18:35:29,27,171741,
18:35:30,28,175247,
18:35:31,29,175156,
18:35:32,30,175212,
18:35:33,31,175430,
18:35:34,32,175018,
18:35:35,33,175236,
18:35:36,34,175316,
18:35:37,35,175311,
