Time,Second,Number of Sorts,State
18:23:29,1,287,
18:23:30,2,125564,
18:23:31,3,128291,
18:23:32,4,170125,
18:23:33,5,180628,
18:23:34,6,180614,
18:23:35,7,180458,
18:23:36,8,180812,
18:23:37,9,180518,
18:23:38,10,180377,
18:23:39,11,139312,
18:23:40,12,175839,
18:23:41,13,180541,
18:23:42,14,180575,
18:23:43,15,180556,
18:23:44,16,180086,
18:23:45,17,169168,
18:23:46,18,169514,
18:23:47,19,169374,
18:23:48,20,169357,
18:23:49,21,169393,
18:23:50,22,168849,
18:23:51,23,118379,
18:23:52,24,116981,
18:23:53,25,134205,
18:23:54,26,151034,
18:23:55,27,177764,
18:23:56,28,180742,
18:23:57,29,180541,
18:23:58,30,180628,
18:23:59,31,180755,
18:24:00,32,171276,
18:24:01,33,180600,
18:24:02,34,180493,
18:24:03,35,180023,
