Time,Second,Number of Sorts,State
18:40:42,1,475,
18:40:43,2,127775,
18:40:44,3,128722,
18:40:45,4,171824,
18:40:46,5,180808,
18:40:47,6,180983,
18:40:48,7,180889,
18:40:49,8,181017,
18:40:50,9,180616,
18:40:51,10,180138,
18:40:52,11,138645,
18:40:53,12,175292,
18:40:54,13,180596,
18:40:55,14,180724,
18:40:56,15,180357,
18:40:57,16,180499,
18:40:58,17,170847,
18:40:59,18,169981,
18:41:00,19,165022,
18:41:01,20,169580,
18:41:02,21,169556,
18:41:03,22,169487,
18:41:04,23,169102,
18:41:05,24,169512,
18:41:06,25,75530,
18:41:07,26,101485,
18:41:08,27,133372,
18:41:09,28,139170,
18:41:10,29,167633,
18:41:11,30,181058,
18:41:12,31,180960,
18:41:13,32,181036,
18:41:14,33,180866,
18:41:15,34,147267,
18:41:16,35,167736,
