Time,Second,Number of Sorts,State
18:46:26,1,354,
18:46:27,2,127067,
18:46:28,3,130440,
18:46:29,4,170698,
18:46:30,5,180549,
18:46:31,6,180176,
18:46:32,7,180416,
18:46:33,8,180624,
18:46:34,9,180244,
18:46:35,10,180474,
18:46:36,11,178003,
18:46:37,12,137241,
18:46:38,13,180051,
18:46:39,14,179983,
18:46:40,15,180196,
18:46:41,16,180175,
18:46:42,17,176707,
18:46:43,18,170542,
18:46:44,19,170174,
18:46:45,20,170039,
18:46:46,21,169498,
18:46:47,22,169076,
18:46:48,23,169334,
18:46:49,24,169256,
18:46:50,25,169201,
18:46:51,26,154950,
18:46:52,27,111358,
18:46:53,28,132315,
18:46:54,29,138285,
18:46:55,30,165180,
18:46:56,31,179842,
18:46:57,32,180209,
18:46:58,33,176042,
18:46:59,34,172907,
18:47:00,35,175589,
18:47:01,36,158915,
