Time,Second,Number of Sorts,State
18:52:29,1,409,
18:52:30,2,126172,
18:52:31,3,130284,
18:52:32,4,172012,
18:52:33,5,180102,
18:52:34,6,180552,
18:52:35,7,180219,
18:52:36,8,180729,
18:52:37,9,180348,
18:52:38,10,180519,
18:52:39,11,168757,
18:52:40,12,147827,
18:52:41,13,176112,
18:52:42,14,180382,
18:52:43,15,180040,
18:52:44,16,180077,
18:52:45,17,167335,
18:52:46,18,163619,
18:52:47,19,169710,
18:52:48,20,168010,
18:52:49,21,166697,
18:52:50,22,162592,
18:52:51,23,168772,
18:52:52,24,169277,
18:52:53,25,169164,
18:52:54,26,168953,
18:52:55,27,123691,
18:52:56,28,130220,
18:52:57,29,138771,
18:52:58,30,167536,
18:52:59,31,179819,
18:53:00,32,175775,
18:53:01,33,179742,
18:53:02,34,180141,
18:53:03,35,180171,
18:53:04,36,179970,
18:53:05,37,180008,
18:53:06,38,180090,
18:53:07,39,179927,
18:53:08,40,180042,
18:53:09,41,179881,
18:53:10,42,179707,
18:53:11,43,180294,
18:53:12,44,179789,
18:53:13,45,179900,
18:53:14,46,177616,
