Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,114.000,8.760,0.709,1.074,2.582,17.065,20.252,20.627,23.362,25.813,0.114
1,106.000,9.467,0.569,0.863,11.942,18.621,20.473,20.825,21.636,27.961,0.106
2,116.000,8.568,0.508,0.809,11.787,13.236,20.297,20.760,28.812,29.594,0.117
3,109.000,9.170,0.515,1.001,1.624,18.335,20.403,21.577,28.906,33.919,0.109
4,108.000,9.342,0.707,1.033,11.328,18.302,20.630,22.853,28.782,29.158,0.107
5,130.000,7.633,0.678,0.892,1.042,13.381,19.808,20.634,28.033,29.993,0.131
6,104.000,9.590,0.674,0.934,11.971,17.974,20.743,21.506,48.203,55.375,0.104
7,107.000,9.363,0.655,0.964,11.988,17.330,20.454,20.617,21.682,29.099,0.107
8,117.000,8.568,0.683,0.977,2.979,15.110,19.370,20.856,27.646,27.837,0.117
9,122.000,8.194,0.681,0.892,1.012,17.701,20.641,22.758,29.033,30.011,0.122
10,129.000,7.721,0.432,0.893,1.016,13.253,19.333,20.399,25.065,27.749,0.130
11,102.000,9.859,0.701,1.024,11.905,19.230,20.533,21.555,30.038,37.182,0.101
12,111.000,8.936,0.957,1.128,1.227,17.303,19.413,20.568,30.147,75.317,0.112
13,117.000,8.512,0.706,1.102,11.935,13.910,19.268,20.530,20.904,21.652,0.117
14,113.000,8.870,0.645,1.118,1.278,18.164,20.366,20.636,27.812,29.020,0.113
15,111.000,9.090,0.930,1.122,1.197,17.923,20.381,28.688,35.722,40.542,0.110
16,115.000,8.579,0.930,1.163,1.204,17.697,20.325,21.536,28.768,37.552,0.117
17,124.000,8.081,0.860,1.151,1.185,16.759,20.166,23.172,35.548,37.270,0.124
18,106.000,9.467,0.969,1.153,1.207,18.459,21.355,27.717,36.845,38.495,0.106
19,95.000,10.542,0.946,1.116,11.658,18.959,21.323,27.728,58.355,58.355,0.095
20,106.000,9.337,0.977,1.153,11.696,17.775,20.190,20.375,25.015,28.581,0.107
21,69.000,14.481,0.786,1.175,11.735,20.161,27.339,35.753,132.213,132.213,0.069
