Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,4,9,49,74246,17197506560,0,6,0,306.1356641028059,2840611752,3646546,0,0,2802319360,684160,113965,Yes
2,4,8,75,67177,17197506560,0,6,0,320.0400783694859,2686884093,3750511,0,0,2647957504,646474,82016,No
3,4,7,73,69693,17197506560,0,6,0,331.52525546020723,2887621209,3765811,0,0,2848165888,695353,33729,Yes
4,3,7,102,67234,17197506560,0,5,0,278.65688488256205,2341445916,3737697,0,0,2303307776,562331,21908,No
5,4,8,30,65360,17197506560,0,6,0,288.88126086424285,2359658610,3747636,0,0,2321395712,566747,125741,No
