Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,104.000,9.634,0.739,1.051,1.651,18.992,21.539,26.299,28.329,37.049,0.104
1,109.000,9.240,0.671,0.949,11.662,18.702,20.172,20.527,29.608,29.683,0.108
2,104.000,9.673,0.679,0.927,11.720,18.327,20.376,21.361,21.447,29.689,0.103
3,120.000,8.231,0.529,0.836,1.189,16.511,20.426,21.350,27.485,27.800,0.121
4,113.000,8.929,0.505,0.902,11.724,13.088,19.394,20.448,24.722,25.981,0.112
5,114.000,8.626,0.449,0.815,1.429,17.215,20.869,27.596,29.542,29.817,0.116
6,90.000,11.239,0.603,0.872,11.689,19.136,21.313,29.835,57.032,57.032,0.089
7,93.000,10.791,0.556,0.863,11.700,19.154,22.401,28.805,37.982,37.982,0.093
8,112.000,8.800,0.464,0.838,0.926,18.356,21.331,27.650,28.828,29.673,0.114
9,102.000,9.896,0.470,0.807,1.029,19.225,21.365,27.628,33.024,36.238,0.101
10,103.000,9.631,0.599,0.845,11.703,18.807,20.233,20.587,21.510,46.308,0.104
11,107.000,9.404,0.624,1.045,11.658,18.896,20.719,25.820,28.893,30.204,0.106
12,106.000,9.381,0.708,1.110,11.719,16.419,20.059,20.319,28.694,29.771,0.107
13,111.000,8.973,0.615,0.876,1.054,17.857,20.110,21.322,38.431,63.390,0.111
14,100.000,10.075,0.803,1.049,1.166,18.252,27.371,29.125,44.763,44.763,0.099
15,107.000,9.206,0.899,1.067,1.176,17.652,20.284,26.213,44.053,52.687,0.109
16,114.000,8.816,0.886,1.107,1.248,17.762,20.167,27.122,34.269,36.295,0.113
17,97.000,10.326,0.872,1.112,11.716,18.882,20.251,21.352,37.366,37.366,0.097
18,108.000,9.227,0.840,1.061,11.585,18.903,20.241,21.373,28.163,29.855,0.108
19,107.000,9.334,0.849,1.089,1.138,17.878,20.087,20.394,51.877,66.465,0.107
20,127.000,7.843,0.791,1.040,1.152,14.788,18.976,20.457,21.378,27.422,0.127
21,114.000,8.840,0.824,1.048,11.576,16.938,20.067,21.382,26.811,37.828,0.113
22,93.000,10.647,0.870,1.100,11.683,19.110,21.516,27.866,36.654,36.654,0.094
23,91.000,10.953,0.711,1.025,11.674,18.893,21.382,28.558,66.717,66.717,0.091
24,102.000,9.889,0.719,0.955,11.128,18.538,21.339,28.631,36.340,36.833,0.101
25,112.000,8.941,0.651,0.935,11.066,17.159,20.166,27.904,28.677,38.143,0.112
26,96.000,10.436,0.407,0.895,11.708,19.286,20.531,26.732,67.322,67.322,0.096
27,113.000,8.876,0.629,0.856,0.968,18.510,19.928,20.506,29.346,32.173,0.113
28,103.000,9.550,0.584,0.944,11.712,18.187,20.201,21.231,32.285,36.839,0.105
29,114.000,8.881,0.760,1.039,1.160,16.704,20.218,23.966,34.109,121.721,0.113
30,103.000,10.538,0.472,0.937,11.626,18.301,21.360,27.530,45.441,108.256,0.095
