Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,85.000,12.146,0.774,1.189,11.723,19.889,28.338,28.659,50.524,50.524,0.082
1,109.000,8.885,0.563,0.842,1.264,18.143,21.860,28.463,29.298,35.946,0.113
2,100.000,10.120,0.571,0.812,11.684,18.485,20.763,27.806,44.357,44.357,0.099
3,96.000,10.351,0.570,0.858,11.728,19.010,20.456,21.272,36.838,36.838,0.097
4,96.000,10.381,0.579,1.007,11.695,18.385,20.177,22.072,118.377,118.377,0.096
5,102.000,9.735,0.704,1.036,11.716,17.920,20.173,21.233,28.844,28.933,0.103
6,104.000,9.663,0.687,0.997,11.672,13.879,19.427,29.636,38.355,84.011,0.103
7,105.000,9.544,0.680,0.921,11.668,18.151,20.505,26.793,28.499,36.140,0.105
8,105.000,9.671,0.674,0.877,1.104,18.500,21.200,28.350,29.988,46.656,0.103
9,108.000,9.245,0.678,0.891,1.035,18.965,21.723,28.832,35.738,37.833,0.108
10,86.000,11.572,0.622,0.975,11.705,19.497,22.556,27.759,46.186,46.186,0.086
11,99.000,9.874,0.808,1.165,11.728,18.847,20.075,20.418,28.684,28.684,0.101
12,115.000,8.733,0.748,0.973,1.086,18.093,20.180,20.585,27.723,28.631,0.115
13,97.000,10.304,0.750,1.043,11.729,18.651,20.297,20.919,60.949,60.949,0.097
14,112.000,8.959,0.706,0.966,11.905,18.308,20.389,20.582,25.140,27.025,0.112
15,123.000,8.098,0.759,0.967,1.068,14.023,19.418,20.523,21.563,21.650,0.123
16,117.000,8.518,0.747,0.953,1.075,16.386,19.370,20.558,22.330,29.052,0.117
17,114.000,8.777,0.737,0.973,3.078,18.226,19.668,20.596,29.110,29.136,0.114
18,115.000,8.652,0.744,0.950,11.899,13.327,19.742,21.519,22.638,26.785,0.116
19,71.000,14.272,0.517,0.886,11.926,19.361,20.674,21.567,238.773,238.773,0.070
20,110.000,9.062,0.424,0.735,11.844,16.750,20.733,20.905,29.495,29.524,0.110
21,126.000,7.836,0.452,0.674,0.817,13.215,19.520,20.752,21.546,27.973,0.128
22,101.000,9.908,0.456,0.684,12.017,15.138,19.685,20.667,21.634,21.812,0.101
23,116.000,8.645,0.457,0.514,11.983,13.320,19.558,20.076,20.669,20.960,0.116
24,118.000,8.481,0.451,0.510,11.475,13.308,19.734,21.145,25.296,28.885,0.118
25,110.000,9.161,0.421,0.552,0.768,13.336,20.823,28.638,56.299,62.767,0.109
26,124.000,8.000,0.418,0.655,0.766,16.114,19.592,20.869,27.716,28.581,0.125
27,106.000,9.467,0.414,0.623,11.762,18.651,20.935,27.939,29.099,29.963,0.106
28,131.000,7.545,0.451,0.706,0.953,13.298,19.025,20.060,20.944,21.052,0.133
29,101.000,9.909,0.683,0.836,11.987,15.048,19.882,20.825,34.789,57.103,0.101
30,106.000,9.433,0.628,0.902,11.995,17.657,20.471,20.873,21.620,21.643,0.106
31,99.000,10.168,0.440,0.817,11.914,18.635,20.706,27.876,58.424,58.424,0.098
32,103.000,9.669,0.447,0.656,11.277,17.993,20.789,28.131,41.088,55.395,0.103
33,124.000,8.097,0.403,0.740,0.978,16.990,20.123,20.670,28.015,28.442,0.124
34,111.000,9.025,0.647,0.868,1.014,18.445,20.382,20.837,28.084,30.702,0.111
35,142.000,7.004,0.625,0.819,0.940,13.342,19.373,19.836,21.650,22.995,0.143
36,123.000,8.111,0.619,0.820,0.942,18.199,19.755,20.697,20.949,27.937,0.123
37,121.000,8.325,0.619,0.803,11.977,13.330,19.337,19.544,20.903,27.242,0.120
38,91.000,10.911,0.631,0.927,11.914,19.164,20.598,21.674,86.415,86.415,0.092
39,113.000,8.806,0.718,0.993,2.012,18.102,20.512,21.533,26.798,35.182,0.114
40,106.000,9.290,0.707,0.955,1.222,19.230,20.716,21.560,28.957,29.586,0.108
41,104.000,9.761,0.721,0.971,11.949,17.819,20.498,20.890,27.669,30.038,0.102
42,114.000,8.772,0.686,0.855,11.991,14.183,19.895,20.707,27.288,28.157,0.114
43,113.000,8.753,0.712,0.932,1.892,17.489,20.168,20.768,23.290,31.762,0.114
44,111.000,9.093,0.474,0.808,1.816,18.185,20.399,21.613,29.189,56.624,0.110
45,116.000,8.465,0.456,0.625,11.371,17.443,20.024,20.838,21.211,21.560,0.118
46,116.000,8.655,0.456,0.691,11.816,17.171,20.643,21.545,27.245,27.876,0.116
47,124.000,8.028,0.419,0.498,1.980,13.222,19.601,20.420,27.897,28.859,0.125
48,118.000,8.562,0.448,0.648,11.916,13.344,19.604,20.223,20.847,20.885,0.117
49,121.000,8.164,0.465,0.855,1.004,16.467,20.319,20.650,27.900,29.987,0.122
50,115.000,8.848,0.675,0.872,1.387,18.541,20.232,20.897,21.628,25.997,0.113
51,103.000,9.551,0.401,0.841,4.503,17.702,20.588,25.544,44.395,61.044,0.105
52,91.000,11.008,0.697,0.938,11.945,18.444,20.432,20.857,79.007,79.007,0.091
53,110.000,9.037,0.434,0.707,11.919,16.854,20.396,21.406,29.013,29.157,0.111
54,130.000,7.780,0.398,0.741,0.948,17.136,20.215,20.688,28.114,29.005,0.129
55,115.000,8.653,0.390,0.823,5.485,18.442,19.597,20.084,25.811,27.819,0.116
56,116.000,8.609,0.626,0.792,11.981,13.343,19.888,20.713,23.365,29.039,0.116
57,122.000,8.199,0.444,0.829,0.978,18.300,19.852,20.822,25.245,26.051,0.122
58,125.000,7.960,0.678,0.867,0.955,16.616,20.591,20.706,21.691,28.074,0.126
59,97.000,10.186,0.695,0.916,11.919,18.454,20.699,29.000,56.477,56.477,0.098
