Time,Second,Number of Sorts,State
12:26:09,1,585,
12:26:10,2,127456,
12:26:11,3,129664,
12:26:12,4,169862,
12:26:13,5,180214,
12:26:14,6,179782,
12:26:15,7,180227,
12:26:16,8,179974,
12:26:17,9,180233,
12:26:18,10,180060,
12:26:19,11,140941,
12:26:20,12,175530,
12:26:21,13,179979,
12:26:22,14,179923,
12:26:23,15,180312,
12:26:24,16,179231,START
12:26:25,17,172738,
12:26:26,18,171705,
12:26:27,19,168517,
12:26:28,20,174888,
12:26:29,21,175000,
12:26:30,22,175133,
12:26:31,23,175068,
12:26:32,24,174881,
12:26:33,25,175040,
12:26:34,26,174893,
12:26:35,27,105144,COMPLETE
12:26:36,28,100782,
12:26:37,29,132076,
12:26:38,30,138237,
12:26:39,31,168558,
12:26:40,32,179860,
12:26:41,33,179622,
12:26:42,34,180078,
12:26:43,35,179970,
12:26:44,36,179948,
12:26:45,37,180208,
12:26:46,38,180404,
12:26:47,39,179927,
12:26:48,40,179887,
12:26:49,41,179296,
12:26:50,42,180186,
12:26:51,43,179638,
12:26:52,44,179643,
12:26:53,45,179863,
