Time,Second,Number of Sorts,State
11:56:38,1,421,
11:56:39,2,118258,
11:56:40,3,122584,
11:56:41,4,158541,
11:56:42,5,178944,
11:56:43,6,178360,
11:56:44,7,178921,
11:56:45,8,178671,
11:56:46,9,178744,
11:56:47,10,178788,
11:56:48,11,138362,
11:56:49,12,174958,
11:56:50,13,179025,
11:56:51,14,178895,
11:56:52,15,179000,
11:56:53,16,178205,START
11:56:54,17,175889,
11:56:55,18,176775,
11:56:56,19,176825,
11:56:57,20,176829,
11:56:58,21,176316,
11:56:59,22,176306,
11:57:00,23,161707,COMPLETE
11:57:01,24,140991,
11:57:02,25,171724,
11:57:03,26,178865,
11:57:04,27,178676,
11:57:05,28,174085,
11:57:06,29,178947,
11:57:07,30,178736,
11:57:08,31,178943,
11:57:09,32,178937,
11:57:10,33,178903,
11:57:11,34,178945,
11:57:12,35,179070,
