Time,Second,Number of Sorts,State
12:08:17,1,635,
12:08:18,2,126912,
12:08:19,3,130430,
12:08:20,4,170936,
12:08:21,5,178606,
12:08:22,6,178991,
12:08:23,7,178681,
12:08:24,8,179485,
12:08:25,9,179129,
12:08:26,10,179072,
12:08:27,11,142238,
12:08:28,12,170279,
12:08:29,13,173976,
12:08:30,14,178956,
12:08:31,15,178810,
12:08:32,16,178914,START
12:08:33,17,165732,
12:08:34,18,167172,
12:08:35,19,167065,
12:08:36,20,166935,
12:08:37,21,166910,
12:08:38,22,166749,
12:08:39,23,166742,
12:08:40,24,142595,COMPLETE
12:08:41,25,132609,
12:08:42,26,140444,
12:08:43,27,168497,
12:08:44,28,178741,
12:08:45,29,178769,
12:08:46,30,179147,
12:08:47,31,179184,
12:08:48,32,178812,
12:08:49,33,179353,
12:08:50,34,179468,
12:08:51,35,179344,
