Time,Second,Number of Sorts,State
12:02:25,1,391,
12:02:26,2,127243,
12:02:27,3,127559,
12:02:28,4,166377,
12:02:29,5,179246,
12:02:30,6,179300,
12:02:31,7,179834,
12:02:32,8,179780,
12:02:33,9,179762,
12:02:34,10,179584,
12:02:35,11,142122,
12:02:36,12,173232,
12:02:37,13,179378,
12:02:38,14,179677,
12:02:39,15,179334,
12:02:40,16,179551,START
12:02:41,17,166653,
12:02:42,18,167485,
12:02:43,19,167444,
12:02:44,20,167431,
12:02:45,21,167028,
12:02:46,22,166884,
12:02:47,23,167211,COMPLETE
12:02:48,24,73018,
12:02:49,25,117925,
12:02:50,26,133030,
12:02:51,27,148654,
12:02:52,28,175181,
12:02:53,29,178901,
12:02:54,30,178672,
12:02:55,31,178819,
12:02:56,32,178946,
12:02:57,33,179100,
12:02:58,34,179590,
12:02:59,35,179510,
