Time,Second,Number of Sorts,State
12:14:13,1,539,
12:14:14,2,126270,
12:14:15,3,131239,
12:14:16,4,177826,
12:14:17,5,179392,
12:14:18,6,179169,
12:14:19,7,178959,
12:14:20,8,179248,
12:14:21,9,179353,
12:14:22,10,179506,
12:14:23,11,140205,
12:14:24,12,174297,
12:14:25,13,179739,
12:14:26,14,180069,
12:14:27,15,179989,
12:14:28,16,179746,START
12:14:29,17,166133,
12:14:30,18,168027,
12:14:31,19,167091,
12:14:32,20,166359,
12:14:33,21,167155,
12:14:34,22,167867,
12:14:35,23,167445,
12:14:36,24,167483,
12:14:37,25,143963,COMPLETE
12:14:38,26,133080,
12:14:39,27,141704,
12:14:40,28,171612,
12:14:41,29,179771,
12:14:42,30,180003,
12:14:43,31,179731,
12:14:44,32,180108,
12:14:45,33,157707,
12:14:46,34,156047,
12:14:47,35,179072,
