Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,8,1,84,11391,1091379200,0,10,0,870.6632568920106,1239394298,21252,0,0,1236787200,301950,79762,No
2,4,2,43,10242,1091379200,0,6,0,854.1208484375,1093062276,34502,0,0,1090621440,266265,53071,No
3,3,2,258,10618,1091379200,0,5,0,839.2511416729465,1113473881,28387,0,0,1111048192,271252,59056,No
4,4,2,227,10263,1091379200,0,6,0,871.892312250268,1118098467,26493,0,0,1115680768,272383,40002,No
5,3,2,291,10509,1091379200,0,5,0,845.5895467783382,1110363787,29837,0,0,1107931136,270491,51426,No
