Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,5,44,29152,8607571968,0,5,0,488.98621552818474,1781347769,1755116,0,0,1761947648,430163,47709
2,4,4,29,30876,8607571968,0,6,0,491.6174819901529,1896939453,1737188,0,0,1877577728,458393,46856
3,4,5,27,30336,8607571968,0,6,0,493.395483169035,1870434890,1739134,0,0,1850597376,451806,60653
4,3,5,86,30830,8607571968,0,5,0,483.7806699756691,1863855010,1745794,0,0,1844264960,450260,63726
5,3,5,78,31318,8607571968,0,5,0,490.2315595439594,1918615219,1735241,0,0,1899282432,463692,53189
6,3,5,68,30765,8607571968,0,5,0,488.0528252275683,1876350729,1742012,0,0,1857040384,453379,41197
7,3,4,41,29283,8607571968,0,5,0,470.4467873902797,1721564052,1737679,0,0,1702592512,415672,87561
8,3,6,15,26555,8607571968,0,5,0,516.5328354363629,1713966397,1747828,0,0,1694912512,413797,13316
9,4,4,35,29973,8607571968,0,6,0,487.44192919349996,1825805987,1742747,0,0,1806573568,441058,69559
10,2,4,67,28097,8607571968,0,4,0,492.533823799523,1729381731,1744934,0,0,1709535232,417367,13316
