Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,74,29752,8607571968,0,5,0,489.77511173860427,1821016369,1750430,0,0,1801109504,439724,17357
2,3,5,60,30413,8607571968,0,5,0,499.97504840831357,1900192775,1735832,0,0,1880891392,459202,20634
3,3,4,68,28974,8607571968,0,5,0,509.28545888850533,1844037584,1747515,0,0,1824739328,445493,20350
4,3,4,42,30304,8607571968,0,5,0,493.18758283828384,1867735586,1738138,0,0,1848475648,451288,55943
5,3,5,50,29842,8607571968,0,5,0,474.206252371217,1768399110,1728986,0,0,1749417984,427104,97826
6,3,4,13,28256,8607571968,0,5,0,473.5514693473029,1672134630,1754852,0,0,1653055488,403578,12692
7,3,4,73,30655,8607571968,0,5,0,499.2421715441584,1912571591,1737111,0,0,1893236736,462216,22714
8,3,4,80,29579,8607571968,0,5,0,477.1188841927304,1763636491,1729135,0,0,1744658432,425942,89282
9,3,4,35,29044,8607571968,0,5,0,497.1780426997245,1804543911,1748502,0,0,1785241600,435850,51812
10,3,4,41,30153,8607571968,0,5,0,474.2863049520714,1787194842,1721886,0,0,1768239104,431699,78601
