Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,25,31072,8607571968,0,6,0,491.4371368610789,1908283711,1738817,0,0,1888911360,461160,61464
2,3,4,65,30630,8607571968,0,5,0,490.2384585646183,1876542995,1740275,0,0,1856401408,453223,66889
3,3,5,41,30744,8607571968,0,5,0,492.463673379095,1892017723,1729440,0,0,1872785408,457223,46405
4,4,5,42,30445,8607571968,0,6,0,485.1115605781866,1845637078,1730496,0,0,1825583104,445699,80598
5,3,5,78,31027,8607571968,0,5,0,502.93130036748113,1950029466,1733825,0,0,1930346496,471276,67702
6,4,4,41,31177,8607571968,0,6,0,493.7824242774196,1923872529,1736131,0,0,1904349184,464929,50543
7,3,4,16,29296,8607571968,0,5,0,482.0555226000273,1764833912,1740447,0,0,1745604608,426173,20347
8,4,5,40,31504,8607571968,0,6,0,492.9472249912696,1940705670,1734682,0,0,1920901120,468970,80007
9,4,5,19,30414,8607571968,0,6,0,480.9692675194844,1828011897,1721507,0,0,1808662528,441568,96772
10,3,4,59,30875,8607571968,0,5,0,491.13264306306894,1895007094,1738460,0,0,1875423232,457867,22595
