Time,Second,Number of Sorts,State
13:14:27,1,115,
13:14:28,2,85188,
13:14:29,3,117074,
13:14:30,4,135081,
13:14:31,5,164442,
13:14:32,6,143756,
13:14:33,7,164405,
13:14:34,8,177039,
13:14:35,9,176891,
13:14:36,10,176986,
13:14:37,11,130861,
13:14:38,12,177035,
13:14:39,13,177386,
13:14:40,14,177414,
13:14:41,15,177101,
13:14:42,16,172726,
13:14:43,17,150066,
13:14:44,18,150470,
13:14:45,19,127087,
13:14:46,20,96298,
13:14:47,21,99231,
13:14:48,22,101780,
13:14:49,23,103924,
13:14:50,24,103035,
13:14:51,25,102794,
13:14:52,26,121979,
13:14:53,27,132522,
13:14:54,28,154266,
13:14:55,29,176973,
13:14:56,30,176889,
13:14:57,31,177274,
13:14:58,32,177004,
13:14:59,33,177220,
13:15:00,34,176817,
13:15:01,35,170708,
