Time,Second,Number of Sorts,State
13:20:16,1,654,
13:20:17,2,127094,
13:20:18,3,124940,
13:20:19,4,169984,
13:20:20,5,178490,
13:20:21,6,178675,
13:20:22,7,178325,
13:20:23,8,178419,
13:20:24,9,178407,
13:20:25,10,178455,
13:20:26,11,138075,
13:20:27,12,172736,
13:20:28,13,178531,
13:20:29,14,178610,
13:20:30,15,178562,
13:20:31,16,178961,
13:20:32,17,157827,
13:20:33,18,159974,
13:20:34,19,158054,
13:20:35,20,117763,
13:20:36,21,106907,
13:20:37,22,106521,
13:20:38,23,107349,
13:20:39,24,107870,
13:20:40,25,108464,
13:20:41,26,109321,
13:20:42,27,107231,
13:20:43,28,103953,
13:20:44,29,143700,
13:20:45,30,172932,
13:20:46,31,178939,
13:20:47,32,178916,
13:20:48,33,178784,
13:20:49,34,178815,
13:20:50,35,178737,
13:20:51,36,179029,
13:20:52,37,178735,
13:20:53,38,178665,
13:20:54,39,179189,
13:20:55,40,178802,
13:20:56,41,178495,
13:20:57,42,179011,
13:20:58,43,179144,
13:20:59,44,179045,
13:21:00,45,174918,
