Time,Second,Number of Sorts,State
13:32:06,1,222,
13:32:07,2,113400,
13:32:08,3,122390,
13:32:09,4,157971,
13:32:10,5,179419,
13:32:11,6,179205,
13:32:12,7,179122,
13:32:13,8,179311,
13:32:14,9,179507,
13:32:15,10,179033,
13:32:16,11,142276,
13:32:17,12,172624,
13:32:18,13,178927,
13:32:19,14,178962,
13:32:20,15,178399,
13:32:21,16,178462,
13:32:22,17,163019,
13:32:23,18,165208,
13:32:24,19,163247,
13:32:25,20,149259,
13:32:26,21,140885,
13:32:27,22,136099,
13:32:28,23,141359,
13:32:29,24,141897,
13:32:30,25,141698,
13:32:31,26,141954,
13:32:32,27,141659,
13:32:33,28,141593,
13:32:34,29,141585,
13:32:35,30,138044,
13:32:36,31,136258,
13:32:37,32,136318,
13:32:38,33,136450,
13:32:39,34,136362,
13:32:40,35,136387,
13:32:41,36,135593,
13:32:42,37,113142,
13:32:43,38,133308,
13:32:44,39,147928,
13:32:45,40,174926,
13:32:46,41,178644,
13:32:47,42,178879,
13:32:48,43,179279,
13:32:49,44,179418,
13:32:50,45,179379,
