Time,Second,Number of Sorts,State
13:08:41,1,420,
13:08:42,2,122416,
13:08:43,3,129101,
13:08:44,4,172436,
13:08:45,5,180340,
13:08:46,6,180337,
13:08:47,7,180623,
13:08:48,8,180579,
13:08:49,9,180505,
13:08:50,10,180549,
13:08:51,11,141970,
13:08:52,12,174928,
13:08:53,13,180675,
13:08:54,14,180438,
13:08:55,15,180470,
13:08:56,16,180486,
13:08:57,17,69833,
13:08:58,18,78249,
13:08:59,19,83988,
13:09:00,20,86424,
13:09:01,21,99357,
13:09:02,22,111685,
13:09:03,23,112268,
13:09:04,24,98152,
13:09:05,25,133963,
13:09:06,26,146447,
13:09:07,27,174575,
13:09:08,28,175527,
13:09:09,29,180319,
13:09:10,30,180448,
13:09:11,31,180519,
13:09:12,32,180400,
13:09:13,33,180445,
13:09:14,34,180214,
13:09:15,35,179727,
