Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,110.000,9.024,0.710,1.059,2.610,17.004,20.039,20.785,28.517,35.838,0.111
1,103.000,9.774,0.503,0.812,11.707,17.693,20.209,21.206,29.650,37.994,0.102
2,100.000,9.971,0.567,1.033,11.604,17.906,21.437,27.284,37.987,37.987,0.100
3,115.000,8.711,0.562,0.973,1.136,16.652,21.723,27.965,43.998,62.086,0.115
4,89.000,11.199,0.749,1.040,11.387,19.234,25.295,28.493,64.824,64.824,0.089
5,87.000,11.461,0.746,1.071,11.698,18.951,27.727,28.977,37.705,37.705,0.087
6,88.000,11.521,0.510,1.015,11.732,19.823,26.755,28.492,63.948,63.948,0.087
7,110.000,8.929,0.497,1.002,11.704,17.404,20.159,20.420,25.187,27.919,0.112
8,116.000,8.584,0.474,0.909,1.065,17.443,20.225,21.367,28.494,30.227,0.117
9,113.000,8.985,0.438,0.954,1.021,17.431,20.370,21.496,29.669,105.199,0.111
10,120.000,8.268,0.474,0.948,1.083,16.168,20.352,20.886,26.856,27.565,0.121
11,90.000,11.093,0.870,1.175,11.703,19.033,26.231,29.496,36.775,36.775,0.090
12,89.000,11.277,0.794,1.181,12.854,19.887,21.364,28.313,38.129,38.129,0.089
13,96.000,10.452,0.777,1.066,1.201,18.926,26.401,29.783,59.092,59.092,0.096
14,93.000,10.626,0.789,0.953,11.682,19.058,21.459,28.459,29.669,29.669,0.094
15,122.000,8.229,0.733,0.891,1.092,17.844,19.499,20.493,28.029,28.502,0.122
16,118.000,8.494,0.758,0.907,3.186,15.876,20.134,20.548,26.883,27.614,0.118
17,112.000,8.813,0.778,0.893,2.649,18.042,20.181,21.173,29.683,32.009,0.113
18,117.000,8.649,0.760,0.811,1.029,18.405,20.178,21.212,34.819,85.778,0.116
19,100.000,9.911,0.481,0.878,11.184,18.895,22.824,28.578,36.811,36.811,0.101
20,91.000,10.916,0.474,0.889,11.690,18.379,20.394,27.539,54.897,54.897,0.092
21,91.000,11.015,0.465,0.828,11.692,19.835,23.622,28.711,38.089,38.089,0.091
22,110.000,9.135,0.473,0.841,0.958,17.319,21.394,28.719,29.795,35.460,0.109
23,109.000,9.132,0.391,0.730,0.962,15.606,20.475,28.028,43.079,46.423,0.110
24,105.000,9.606,0.465,0.935,11.709,18.451,20.426,21.411,28.189,29.673,0.104
25,94.000,10.647,0.706,0.961,11.724,18.108,20.154,21.328,28.888,28.888,0.094
26,106.000,9.508,0.473,0.724,11.697,17.869,20.291,25.506,47.279,51.430,0.105
27,121.000,8.112,0.443,0.808,0.933,13.035,20.125,20.508,28.999,36.655,0.123
28,110.000,9.060,0.394,0.715,1.606,18.240,20.575,26.531,29.110,37.954,0.110
29,112.000,9.034,0.471,0.763,0.941,18.230,24.691,27.866,29.650,37.486,0.111
30,92.000,10.745,0.470,0.962,11.712,18.957,20.596,27.256,28.861,28.861,0.093
31,123.000,8.161,0.473,0.754,0.905,18.024,20.311,27.417,30.146,36.470,0.123
32,132.000,7.556,0.471,0.578,0.941,13.073,19.135,20.486,26.506,28.946,0.132
33,106.000,9.399,0.476,0.723,11.243,16.944,20.391,21.384,50.541,51.620,0.106
34,124.000,8.172,0.424,0.660,0.903,13.259,19.767,20.392,29.230,35.139,0.122
35,96.000,10.228,0.474,0.886,11.926,19.289,20.608,26.778,31.321,31.321,0.098
36,115.000,8.666,0.457,0.809,11.497,15.612,19.717,20.727,27.607,33.855,0.115
37,124.000,8.015,0.406,0.482,11.514,13.296,19.061,20.555,21.098,23.019,0.125
38,142.000,6.989,0.412,0.458,0.663,12.874,17.836,19.414,20.740,28.730,0.143
39,102.000,9.754,0.396,0.448,11.384,19.236,21.533,25.169,40.900,60.391,0.103
40,108.000,9.346,0.439,0.762,1.017,18.423,20.695,26.638,45.848,52.597,0.107
41,111.000,8.924,0.368,0.524,11.921,13.246,20.386,21.422,27.821,27.957,0.112
42,128.000,7.789,0.456,0.786,0.996,13.314,19.368,20.532,21.631,27.480,0.128
43,111.000,9.082,0.457,0.819,11.975,14.354,19.490,20.794,27.659,28.046,0.110
44,141.000,7.121,0.404,0.454,0.656,12.412,19.438,20.334,27.608,28.696,0.140
45,116.000,8.644,0.395,0.439,11.074,13.239,20.264,27.177,35.685,65.940,0.116
46,116.000,8.516,0.393,0.448,11.488,13.202,19.413,21.562,28.873,36.992,0.117
47,131.000,7.591,0.387,0.434,1.756,13.202,19.318,20.314,21.711,27.936,0.132
48,135.000,7.475,0.386,0.436,1.411,12.786,19.905,20.603,21.569,21.642,0.134
49,126.000,7.855,0.385,0.440,11.458,13.188,19.064,20.078,28.930,29.240,0.127
50,134.000,7.473,0.385,0.440,11.117,12.867,18.545,20.734,29.108,29.118,0.134
51,114.000,8.885,0.384,0.431,11.486,13.202,19.917,21.104,29.730,79.796,0.113
52,126.000,7.812,0.382,0.431,2.817,13.234,19.414,20.366,28.675,30.651,0.128
53,114.000,8.794,0.386,0.435,11.461,13.240,20.558,21.539,28.673,30.006,0.114
54,126.000,7.889,0.385,0.431,11.484,12.874,18.638,20.386,21.769,34.592,0.127
55,144.000,6.940,0.387,0.431,0.581,12.863,18.637,19.518,20.802,21.169,0.144
56,125.000,8.077,0.384,0.429,11.134,13.222,19.127,19.948,50.603,52.971,0.124
57,124.000,8.025,0.382,0.444,11.532,13.227,18.631,19.922,20.757,21.540,0.125
58,123.000,8.138,0.380,0.439,0.676,13.231,20.194,21.052,28.412,29.537,0.123
59,109.000,9.011,0.377,0.464,11.459,13.240,20.804,21.709,40.500,42.042,0.111
