Time,Second,Number of Sorts,State
17:58:43,1,233,
17:58:44,2,101654,
17:58:45,3,121482,
17:58:46,4,145239,
17:58:47,5,174459,
17:58:48,6,179890,
17:58:49,7,180388,
17:58:50,8,180145,
17:58:51,9,180303,
17:58:52,10,180436,
17:58:53,11,136700,
17:58:54,12,176597,
17:58:55,13,180278,
17:58:56,14,180341,
17:58:57,15,180031,
17:58:58,16,179497,
17:58:59,17,166809,
17:59:00,18,158161,
17:59:01,19,163562,
17:59:02,20,163823,
17:59:03,21,163675,
17:59:04,22,163830,
17:59:05,23,163250,
17:59:06,24,85054,
17:59:07,25,109848,
17:59:08,26,133396,
17:59:09,27,140790,
17:59:10,28,170792,
17:59:11,29,180786,
17:59:12,30,180503,
17:59:13,31,179718,
17:59:14,32,179982,
17:59:15,33,179740,
17:59:16,34,180274,
17:59:17,35,179960,
