Time,Second,Number of Sorts,State
18:10:45,1,357,
18:10:46,2,111805,
18:10:47,3,121311,
18:10:48,4,145435,
18:10:49,5,173617,
18:10:50,6,178490,
18:10:51,7,178673,
18:10:52,8,178922,
18:10:53,9,178591,
18:10:54,10,178693,
18:10:55,11,135127,
18:10:56,12,177669,
18:10:57,13,178409,
18:10:58,14,178869,
18:10:59,15,178431,
18:11:00,16,173360,
18:11:01,17,169739,
18:11:02,18,163870,
18:11:03,19,165287,
18:11:04,20,163489,
18:11:05,21,162970,
18:11:06,22,163027,
18:11:07,23,163188,
18:11:08,24,162524,
18:11:09,25,162220,
18:11:10,26,117683,
18:11:11,27,116910,
18:11:12,28,132251,
18:11:13,29,154402,
18:11:14,30,177804,
18:11:15,31,178251,
18:11:16,32,178752,
18:11:17,33,178726,
18:11:18,34,178767,
18:11:19,35,178745,
