Time,Second,Number of Sorts,State
17:47:08,1,310,
17:47:09,2,126148,
17:47:10,3,127646,
17:47:11,4,168093,
17:47:12,5,180477,
17:47:13,6,180560,
17:47:14,7,180612,
17:47:15,8,180841,
17:47:16,9,180751,
17:47:17,10,180762,
17:47:18,11,143115,
17:47:19,12,171133,
17:47:20,13,180058,
17:47:21,14,180487,
17:47:22,15,180839,
17:47:23,16,180098,
17:47:24,17,173403,
17:47:25,18,173252,
17:47:26,19,173108,
17:47:27,20,173374,
17:47:28,21,173073,
17:47:29,22,172826,
17:47:30,23,148858,
17:47:31,24,125575,
17:47:32,25,135866,
17:47:33,26,160543,
17:47:34,27,179838,
17:47:35,28,180174,
17:47:36,29,180067,
17:47:37,30,180560,
17:47:38,31,180683,
17:47:39,32,180513,
17:47:40,33,180634,
17:47:41,34,180808,
17:47:42,35,180709,
