Time,Second,Number of Sorts,State
17:52:56,1,169,
17:52:57,2,94944,
17:52:58,3,121050,
17:52:59,4,148670,
17:53:00,5,171756,
17:53:01,6,180046,
17:53:02,7,180365,
17:53:03,8,180294,
17:53:04,9,180194,
17:53:05,10,180140,
17:53:06,11,133933,
17:53:07,12,179872,
17:53:08,13,180029,
17:53:09,14,180179,
17:53:10,15,180378,
17:53:11,16,178334,
17:53:12,17,165633,
17:53:13,18,164092,
17:53:14,19,164091,
17:53:15,20,163901,
17:53:16,21,163740,
17:53:17,22,163996,
17:53:18,23,139467,
17:53:19,24,119186,
17:53:20,25,133058,
17:53:21,26,158612,
17:53:22,27,180099,
17:53:23,28,179959,
17:53:24,29,179505,
17:53:25,30,179393,
17:53:26,31,176553,
17:53:27,32,172195,
17:53:28,33,178998,
17:53:29,34,179632,
17:53:30,35,175964,
