Time,Second,Number of Sorts,State
18:04:49,1,373,
18:04:50,2,125991,
18:04:51,3,129223,
18:04:52,4,171170,
18:04:53,5,180130,
18:04:54,6,179693,
18:04:55,7,179613,
18:04:56,8,179546,
18:04:57,9,179458,
18:04:58,10,180078,
18:04:59,11,142057,
18:05:00,12,167745,
18:05:01,13,178696,
18:05:02,14,179700,
18:05:03,15,179367,
18:05:04,16,179408,
18:05:05,17,173863,
18:05:06,18,171054,
18:05:07,19,171392,
18:05:08,20,171881,
18:05:09,21,170324,
18:05:10,22,170778,
18:05:11,23,171250,
18:05:12,24,170919,
18:05:13,25,125124,
18:05:14,26,110993,
18:05:15,27,133727,
18:05:16,28,149343,
18:05:17,29,176109,
18:05:18,30,180225,
18:05:19,31,180029,
18:05:20,32,180247,
18:05:21,33,180313,
18:05:22,34,180244,
18:05:23,35,179582,
