Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,111.000,9.002,0.649,1.006,4.374,18.613,20.181,21.120,21.513,23.732,0.111
1,135.000,7.420,0.532,0.784,1.047,14.281,19.330,20.106,20.499,21.287,0.135
2,116.000,8.583,0.625,0.881,11.639,17.308,20.052,20.376,21.363,21.371,0.117
3,116.000,8.669,0.569,0.877,11.696,13.080,19.281,20.056,20.446,20.659,0.115
4,139.000,7.140,0.436,0.649,0.842,13.042,19.058,20.706,38.704,49.633,0.140
5,116.000,8.632,0.460,0.590,11.618,13.033,18.845,19.432,52.943,55.064,0.116
6,123.000,8.214,0.453,0.575,11.163,13.045,19.391,20.166,20.868,30.474,0.122
7,132.000,7.501,0.440,0.484,11.147,12.953,18.418,19.110,21.312,21.354,0.133
8,129.000,7.782,0.442,0.513,11.138,12.999,18.780,19.553,20.389,22.386,0.128
9,129.000,7.769,0.436,0.498,11.048,13.004,19.393,19.944,21.342,24.664,0.129
10,129.000,7.651,0.445,0.589,3.382,12.999,18.953,19.497,20.917,21.343,0.131
11,127.000,7.971,0.455,0.781,0.949,13.071,19.137,19.652,50.661,57.615,0.125
12,109.000,9.072,0.628,0.791,11.715,16.491,20.445,20.585,20.698,28.421,0.110
13,127.000,7.843,0.623,0.830,0.943,17.204,19.254,19.495,20.496,37.256,0.128
14,111.000,9.092,0.613,0.899,11.671,18.178,20.325,20.679,23.372,28.725,0.110
15,87.000,11.452,0.622,0.911,1.892,18.944,21.312,27.615,132.982,132.982,0.087
16,120.000,8.273,0.608,0.814,0.947,17.324,19.528,20.457,21.344,28.889,0.121
17,114.000,8.789,0.624,0.868,1.048,18.217,19.454,20.192,53.502,58.430,0.114
18,102.000,9.802,0.877,1.079,11.726,18.524,20.231,20.297,21.393,23.534,0.102
19,105.000,9.543,0.448,0.951,11.699,17.435,19.527,20.495,24.750,67.370,0.105
