Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,114.000,8.794,0.909,1.217,1.595,18.027,20.349,21.509,21.620,21.968,0.114
1,123.000,8.099,0.756,1.059,1.337,16.770,19.586,20.544,21.619,21.673,0.123
2,110.000,9.078,0.720,1.022,11.968,18.316,20.266,20.526,20.828,21.617,0.110
3,118.000,8.460,0.495,1.043,11.862,16.279,19.383,20.564,21.561,27.178,0.118
4,121.000,8.384,0.452,0.968,1.106,18.112,20.214,20.651,21.592,22.172,0.119
5,105.000,9.399,0.443,1.004,11.921,17.583,19.294,20.495,20.771,22.528,0.106
6,97.000,10.320,0.439,0.991,11.901,19.075,20.267,20.772,57.971,57.971,0.097
7,145.000,6.924,0.414,0.679,0.945,13.308,19.383,19.665,20.909,20.924,0.144
8,125.000,7.946,0.416,0.510,11.502,13.275,18.065,19.435,21.100,21.152,0.126
9,134.000,7.433,0.408,0.502,0.945,13.196,18.962,20.284,20.890,24.785,0.135
10,122.000,8.285,0.409,0.513,11.908,13.210,18.901,19.476,20.591,21.506,0.121
11,120.000,8.240,0.419,0.782,1.047,17.103,20.123,20.400,21.541,52.555,0.121
12,119.000,8.434,0.710,0.913,1.050,16.339,19.443,20.746,23.092,48.802,0.119
13,126.000,7.968,0.755,1.141,1.208,14.802,19.290,20.414,26.484,32.454,0.125
14,118.000,8.490,0.420,0.965,1.176,16.001,20.838,24.568,33.109,33.295,0.118
15,113.000,8.814,0.694,1.006,11.973,16.860,20.307,20.578,21.617,22.953,0.113
16,100.000,9.981,0.689,0.805,11.928,19.186,20.366,20.785,29.733,29.733,0.100
17,110.000,9.100,0.744,1.088,11.890,16.807,20.123,20.396,30.111,65.291,0.110
18,97.000,10.375,0.746,1.147,11.927,16.877,20.397,21.399,52.269,52.269,0.096
19,104.000,9.565,0.952,1.143,11.936,18.137,20.333,20.491,23.428,24.304,0.105
20,119.000,8.385,0.873,1.087,11.969,13.378,19.599,20.486,21.623,22.175,0.119
21,102.000,9.750,0.781,1.066,11.972,16.390,19.295,20.481,46.728,73.534,0.103
22,123.000,8.148,0.452,0.729,5.202,13.304,19.363,20.427,23.432,29.142,0.123
23,106.000,9.361,0.470,0.739,11.933,13.211,19.522,20.586,28.028,28.034,0.107
24,115.000,8.656,0.474,0.729,0.987,13.041,20.031,20.305,46.818,52.991,0.116
25,106.000,9.656,0.470,0.858,11.692,18.114,20.006,21.302,29.707,43.105,0.104
26,146.000,6.718,0.410,0.433,0.517,12.457,18.775,19.640,29.078,57.900,0.149
27,132.000,7.589,0.405,0.450,0.580,13.025,19.613,20.479,27.589,46.613,0.132
28,128.000,7.740,0.402,0.487,11.254,12.569,18.340,19.405,20.854,28.577,0.129
29,91.000,11.051,0.430,0.517,11.680,12.972,16.105,21.605,106.251,106.251,0.090
30,138.000,7.197,0.401,0.475,0.657,12.496,19.105,20.358,20.858,26.522,0.139
31,140.000,7.257,0.403,0.482,0.770,12.982,19.036,19.674,20.827,28.730,0.138
