Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,146.000,6.861,0.559,0.746,1.323,13.010,18.967,19.261,26.704,28.036,0.146
1,128.000,7.782,0.522,0.672,5.790,13.025,18.917,20.684,21.402,25.840,0.129
2,123.000,8.183,0.509,0.881,11.521,13.048,19.227,20.258,21.306,22.212,0.122
3,118.000,8.447,0.521,0.828,11.685,13.395,19.284,19.990,20.492,20.514,0.118
4,149.000,6.661,0.437,0.514,0.754,12.447,18.556,19.370,27.605,27.966,0.150
5,121.000,8.375,0.437,0.517,1.211,13.005,19.620,20.313,54.050,57.045,0.119
6,144.000,6.896,0.428,0.489,1.185,12.973,18.643,19.085,24.204,28.251,0.145
7,135.000,7.348,0.427,0.483,0.997,12.542,19.060,19.972,22.201,30.961,0.136
8,130.000,7.681,0.426,0.485,11.192,13.003,18.958,19.101,20.872,28.665,0.130
9,127.000,8.317,0.423,0.493,11.145,13.023,19.063,20.305,25.126,69.690,0.120
10,134.000,7.104,0.417,0.477,0.678,12.529,18.730,19.668,22.828,28.722,0.141
11,114.000,8.686,0.437,0.686,11.685,13.006,19.311,19.950,20.591,21.321,0.115
12,109.000,9.210,0.649,0.743,11.685,14.742,19.281,19.405,20.635,21.322,0.109
13,122.000,8.288,0.431,0.677,11.365,12.957,19.112,19.988,21.318,21.326,0.121
14,124.000,7.942,0.447,0.685,0.896,14.396,19.318,20.617,29.680,30.398,0.126
15,115.000,8.748,0.644,0.687,0.865,17.962,19.361,20.011,49.007,60.914,0.114
16,106.000,9.344,0.646,0.707,11.714,18.437,19.384,20.602,20.686,21.382,0.107
17,103.000,9.730,0.648,0.762,11.717,18.446,20.019,20.655,28.283,37.178,0.103
18,115.000,8.743,0.657,0.686,11.656,13.148,19.530,20.538,20.695,25.925,0.114
19,115.000,8.641,0.649,0.697,11.670,13.046,19.334,20.620,24.697,30.087,0.116
20,111.000,9.138,0.646,0.685,0.894,17.949,19.812,20.973,30.203,91.978,0.109
21,116.000,8.524,0.690,0.943,1.053,16.429,19.173,20.164,43.939,51.121,0.117
22,108.000,9.219,0.596,0.941,11.685,18.414,20.305,20.521,23.754,55.339,0.108
23,117.000,8.550,0.697,0.994,1.165,14.372,19.142,20.394,21.335,67.805,0.117
24,121.000,8.212,0.476,0.791,0.993,18.179,19.914,20.497,27.761,31.114,0.122
