Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,92,39435,8607571968,0,5,0,391.34119307144124,1928659439,1702168,0,0,1909600256,466211,49774
2,3,5,81,38027,8607571968,0,5,0,383.932827520909,1824524362,1718741,0,0,1805520896,440801,70061
3,3,4,106,38603,8607571968,0,5,0,405.8704482499547,1958061795,1722069,0,0,1938771968,473333,27047
4,4,5,36,38994,8607571968,0,6,0,391.44337982507886,1907535832,1705008,0,0,1887166464,460734,81778
5,3,5,97,38792,8607571968,0,5,0,403.3802395648026,1955526285,1728723,0,0,1936171008,472698,31886
6,7,4,134,50796,8607571968,0,9,0,509.86393810048827,3236913655,1697666,0,0,3214819328,784868,177330
7,3,5,31,37601,8607571968,0,5,0,396.34627215661243,1862416922,1723429,0,0,1843040256,449961,19626
8,7,5,81,49762,8607571968,0,9,0,512.9195260164399,3189954619,1699838,0,0,3167170560,773235,153063
9,3,4,188,39545,8607571968,0,5,0,396.67996317746133,1960427919,1711490,0,0,1941229568,473933,99392
10,4,5,60,46681,8607571968,0,6,0,478.86646893478445,2793734003,1683653,0,0,2772389888,676853,47900
