Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,34,39018,8607571968,0,6,0,408.6510155328856,1992676430,1720119,0,0,1973248000,481750,45718
2,4,5,52,39164,8607571968,0,6,0,409.5134737863582,2004304855,1717052,0,0,1984741376,484556,57006
3,4,5,34,39746,8607571968,0,6,0,405.20199693012256,2012679160,1714352,0,0,1992970240,486565,83210
4,5,5,36,38036,8607571968,0,7,0,401.6187924587836,1909033101,1733980,0,0,1889198080,461230,55287
5,4,4,29,38293,8607571968,0,6,0,404.6796479406618,1936634970,1694555,0,0,1917202432,468067,68690
6,7,4,48,49059,8607571968,0,9,0,520.3481220670676,3190497153,1699195,0,0,3167911936,773416,93791
7,3,4,93,37931,8607571968,0,5,0,405.7674629683339,1923480437,1703751,0,0,1903886336,464816,26862
8,3,4,121,39419,8607571968,0,5,0,405.6726795382469,1998486199,1719993,0,0,1978949632,483142,57294
9,5,4,138,48934,8607571968,0,7,0,507.9468669527897,3106517589,1692599,0,0,3084353536,753016,105764
10,3,5,70,38093,8607571968,0,5,0,394.5984459147238,1878470817,1698453,0,0,1859547136,453991,44050
