Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,5,150,37200,8607571968,0,5,0,403.52001634628306,1875903492,1708540,0,0,1856892928,453343,86566
2,4,4,56,39272,8607571968,0,6,0,413.56179769787104,2029755674,1714503,0,0,2009923584,490704,51472
3,4,4,62,38876,8607571968,0,6,0,397.6756744186046,1932093692,1713892,0,0,1912623104,466949,72973
4,4,5,108,37430,8607571968,0,6,0,424.64999545758184,1986353350,1721839,0,0,1966387200,480075,68466
5,4,4,21,38281,8607571968,0,6,0,414.1207532460747,1981200099,1712187,0,0,1961541632,478892,82266
6,3,6,127,39623,8607571968,0,5,0,405.1617335992125,2006199166,1722140,0,0,1986813952,485062,51125
7,4,5,54,39352,8607571968,0,6,0,391.76532045645155,1926636348,1709440,0,0,1906536448,465463,108793
8,3,5,23,37629,8607571968,0,5,0,385.54245268977246,1812993771,1717462,0,0,1793290240,437815,43090
9,3,4,147,38176,8607571968,0,5,0,390.5496889866918,1863295457,1714513,0,0,1844256768,450258,85632
10,4,4,36,37583,8607571968,0,6,0,422.5800292716677,1984804455,1715236,0,0,1965215744,479789,73672
