Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,5,44,46186,8607571968,0,6,0,492.96640990883697,2845497812,1678319,0,0,2823729152,689387,12095
2,2,4,148,36783,8607571968,0,4,0,380.8579817830827,1750734606,1713219,0,0,1731928064,422834,55037
3,3,5,81,38483,8607571968,0,5,0,397.8934772077551,1913555768,1705193,0,0,1894502400,462525,53203
4,5,4,104,48369,8607571968,0,7,0,505.97707201488674,3058735200,1695113,0,0,3036676096,741376,107913
5,4,5,38,38667,8607571968,0,6,0,399.83186777714553,1932075049,1702276,0,0,1911676928,466718,74118
6,3,5,99,38663,8607571968,0,5,0,405.1251390139169,1957453569,1695755,0,0,1937825792,473102,89782
7,5,4,163,48466,8607571968,0,7,0,514.508943749742,3116554118,1692120,0,0,3094642688,755528,94824
8,4,4,60,38536,8607571968,0,6,0,397.69505429253604,1915285819,1708893,0,0,1895714816,462821,75550
9,4,4,68,38687,8607571968,0,6,0,401.041054106455,1938971477,1702485,0,0,1919139840,468540,89174
10,3,4,70,37873,8607571968,0,5,0,391.8739462885209,1854771925,1714393,0,0,1835638784,448154,55914
