Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,48,38373,8607571968,0,6,0,389.2452271364904,1866656355,1714191,0,0,1846599680,450830,78949
2,6,4,39,49179,8607571968,0,8,0,506.7335680325368,3114615439,1697193,0,0,3092447232,754992,121525
3,4,4,105,46009,8607571968,0,6,0,486.58276169981525,2797942584,1685936,0,0,2776854528,677943,72281
4,2,4,141,36938,8607571968,0,4,0,386.36916185628417,1783557470,1705679,0,0,1764753408,430848,27243
5,5,4,56,47537,8607571968,0,7,0,500.6649011002882,2974550657,1691037,0,0,2952331264,720784,58887
6,3,4,142,38830,8607571968,0,5,0,401.2801734919899,1947300618,1707838,0,0,1928155136,470741,55921
7,7,4,158,49727,8607571968,0,9,0,519.0503202139854,3225879896,1695922,0,0,3203391488,782078,125043
8,3,5,117,36964,8607571968,0,5,0,393.38681284666797,1817185518,1730872,0,0,1798041600,438975,33183
9,4,5,75,39054,8607571968,0,6,0,396.42855140976724,1934804903,1704544,0,0,1915219968,467583,70951
10,7,4,45,49529,8607571968,0,9,0,512.437180575467,3172093933,1696873,0,0,3149455360,768910,116188
