Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,92,41469,8607571968,0,6,0,381.6329941878693,1977839103,1709500,0,0,1958555648,478163,94579
2,8,4,85,52668,8607571968,0,10,0,493.2168142184414,3246633774,1699932,0,0,3224412160,787210,179697
3,4,6,38,41294,8607571968,0,6,0,370.59574559193953,1912432233,1707409,0,0,1892724736,462091,120222
4,4,5,146,48692,8607571968,0,6,0,478.8901374083431,2914253105,1695512,0,0,2892513280,706180,61469
5,4,4,75,46861,8607571968,0,6,0,460.62156911454,2697705698,1667243,0,0,2676940800,653550,76977
6,4,5,44,48283,8607571968,0,6,0,461.3254557355317,2783771384,1685555,0,0,2762567680,674455,13956
7,3,5,102,40680,8607571968,0,5,0,386.7756715427167,1966300171,1715725,0,0,1947045888,475353,50612
8,6,4,90,50678,8607571968,0,8,0,488.5435505387378,3094344523,1693963,0,0,3071782912,749947,106090
9,4,4,28,47909,8607571968,0,6,0,466.5687959085691,2793659861,1683454,0,0,2772791296,676951,13227
10,6,4,80,50689,8607571968,0,8,0,483.91572907171746,3065696129,1694157,0,0,3043909632,743142,131541
