Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,51,41311,8607571968,0,6,0,381.99630203113276,1972177746,1707978,0,0,1952833536,476766,65377
2,4,5,83,42724,8607571968,0,6,0,391.1916619771062,2088702166,1711235,0,0,2068606976,505031,90171
3,4,4,40,46875,8607571968,0,6,0,475.6974827078577,2786839679,1681810,0,0,2765721600,675225,13828
4,4,4,45,41599,8607571968,0,6,0,391.15580449573264,2033553301,1715601,0,0,2013159424,491494,51063
5,4,4,88,40542,8607571968,0,6,0,385.97201381419904,1955604277,1696643,0,0,1936130048,472688,60186
6,3,5,155,40689,8607571968,0,5,0,379.13367220528954,1927871906,1700633,0,0,1908834304,466024,73691
7,4,5,53,47185,8607571968,0,6,0,479.38066791013136,2826935079,1679969,0,0,2805342208,684898,11523
8,6,4,147,51789,8607571968,0,8,0,492.2699016317466,3186312145,1698488,0,0,3163521024,772344,151825
9,3,5,113,41914,8607571968,0,5,0,383.6860036746284,2009774707,1707975,0,0,1990508544,485964,46729
10,3,4,166,40573,8607571968,0,5,0,373.96720984002565,1896222083,1708929,0,0,1877143552,458287,99655
