Time,Second,Number of Sorts,State
17:22:16,1,453,
17:22:17,2,115842,
17:22:18,3,122289,
17:22:19,4,157904,
17:22:20,5,178043,
17:22:21,6,179033,
17:22:22,7,179035,
17:22:23,8,178738,
17:22:24,9,178889,
17:22:25,10,179097,
17:22:26,11,137514,
17:22:27,12,173110,
17:22:28,13,178738,
17:22:29,14,179136,
17:22:30,15,179095,
17:22:31,16,178564,
17:22:32,17,179259,
17:22:33,18,178031,
17:22:34,19,179170,
17:22:35,20,179145,
17:22:36,21,179023,
17:22:37,22,179021,
17:22:38,23,173378,
17:22:39,24,172640,
17:22:40,25,171692,
17:22:41,26,170078,
17:22:42,27,171178,
17:22:43,28,171736,
17:22:44,29,117720,
17:22:45,30,97185,
17:22:46,31,131264,
17:22:47,32,137978,
17:22:48,33,166361,
17:22:49,34,178678,
17:22:50,35,178703,
17:22:51,36,178462,
17:22:52,37,178179,
17:22:53,38,178689,
17:22:54,39,178734,
17:22:55,40,178755,
17:22:56,41,178437,
