Time,Second,Number of Sorts,State
17:10:40,1,543,
17:10:41,2,123035,
17:10:42,3,123574,
17:10:43,4,162429,
17:10:44,5,176601,
17:10:45,6,176257,
17:10:46,7,176512,
17:10:47,8,176494,
17:10:48,9,176316,
17:10:49,10,176100,
17:10:50,11,140124,
17:10:51,12,166687,
17:10:52,13,176694,
17:10:53,14,176455,
17:10:54,15,176518,
17:10:55,16,176437,
17:10:56,17,175813,
17:10:57,18,176653,
17:10:58,19,176690,
17:10:59,20,176461,
17:11:00,21,172174,
17:11:01,22,171491,
17:11:02,23,161984,
17:11:03,24,159655,
17:11:04,25,157552,
17:11:06,26,136662,
17:11:07,27,130953,
17:11:08,28,143650,
17:11:09,29,170977,
17:11:10,30,176618,
17:11:11,31,176696,
17:11:12,32,171937,
17:11:13,33,176448,
17:11:14,34,176592,
17:11:15,35,176692,
17:11:16,36,176675,
17:11:17,37,176560,
17:11:18,38,176701,
17:11:19,39,176610,
17:11:20,40,176775,
17:11:21,41,158861,
