Time,Second,Number of Sorts,State
17:40:08,1,302,
17:40:09,2,94993,
17:40:10,3,121131,
17:40:11,4,138492,
17:40:12,5,166555,
17:40:13,6,180038,
17:40:14,7,180306,
17:40:15,8,180026,
17:40:16,9,180244,
17:40:17,10,180315,
17:40:18,11,135650,
17:40:19,12,179314,
17:40:20,13,180420,
17:40:21,14,180318,
17:40:22,15,180363,
17:40:23,16,179947,
17:40:24,17,179497,
17:40:25,18,180319,
17:40:26,19,180327,
17:40:27,20,180046,
17:40:28,21,179252,
17:40:29,22,175517,
17:40:30,23,175799,
17:40:31,24,174449,
17:40:32,25,170021,
17:40:33,26,174341,
17:40:34,27,174464,
17:40:35,28,174677,
17:40:36,29,174622,
17:40:37,30,174128,
17:40:38,31,173992,
17:40:39,32,170070,
17:40:40,33,164048,
17:40:41,34,161999,
17:40:42,35,171857,
17:40:43,36,87720,
17:40:44,37,110984,
17:40:45,38,133321,
17:40:46,39,143856,
17:40:47,40,173437,
17:40:48,41,179617,
17:40:49,42,180209,
17:40:50,43,180160,
17:40:51,44,180275,
17:40:52,45,180222,
17:40:53,46,180078,
17:40:54,47,180292,
17:40:55,48,180160,
17:40:56,49,179650,
17:40:57,50,180284,
17:40:58,51,155915,
