Time,Second,Number of Sorts,State
17:16:23,1,353,
17:16:24,2,125855,
17:16:25,3,128386,
17:16:26,4,168540,
17:16:27,5,179829,
17:16:28,6,179649,
17:16:29,7,179846,
17:16:30,8,179988,
17:16:31,9,180311,
17:16:32,10,180446,
17:16:33,11,142881,
17:16:34,12,169707,
17:16:35,13,180186,
17:16:36,14,180379,
17:16:37,15,180055,
17:16:38,16,180501,
17:16:39,17,179482,
17:16:40,18,180864,
17:16:41,19,180643,
17:16:42,20,181001,
17:16:43,21,180645,
17:16:44,22,176833,
17:16:45,23,172566,
17:16:46,24,165595,
17:16:47,25,163002,
17:16:48,26,162258,
17:16:49,27,134918,
17:16:50,28,166080,
17:16:51,29,180658,
17:16:52,30,180732,
17:16:53,31,180618,
17:16:54,32,180676,
17:16:55,33,180445,
17:16:56,34,180768,
17:16:57,35,180715,
17:16:58,36,180506,
17:16:59,37,180680,
17:17:00,38,176619,
17:17:01,39,179240,
17:17:02,40,180713,
17:17:03,41,178552,
