Time,Second,Number of Sorts,State
17:34:10,1,434,
17:34:11,2,127599,
17:34:12,3,128669,
17:34:13,4,167454,
17:34:14,5,180319,
17:34:15,6,180408,
17:34:16,7,180520,
17:34:17,8,180636,
17:34:18,9,180644,
17:34:19,10,180436,
17:34:20,11,144568,
17:34:21,12,170049,
17:34:22,13,179232,
17:34:23,14,180057,
17:34:24,15,179793,
17:34:25,16,180024,
17:34:26,17,179833,
17:34:27,18,179408,
17:34:28,19,180661,
17:34:29,20,180838,
17:34:30,21,180762,
17:34:31,22,180412,
17:34:32,23,177824,
17:34:33,24,176957,
17:34:34,25,175055,
17:34:35,26,174280,
17:34:36,27,175072,
17:34:37,28,174989,
17:34:38,29,175142,
17:34:39,30,175167,
17:34:40,31,173908,
17:34:41,32,173000,
17:34:42,33,172310,
17:34:43,34,140587,
17:34:44,35,107395,
17:34:45,36,133499,
17:34:46,37,143611,
17:34:47,38,173924,
17:34:48,39,180402,
17:34:49,40,180460,
17:34:50,41,180425,
17:34:51,42,180233,
17:34:52,43,180706,
17:34:53,44,180214,
17:34:54,45,180161,
17:34:55,46,179829,
17:34:56,47,179922,
17:34:57,48,180404,
17:34:58,49,179958,
17:34:59,50,180176,
17:35:00,51,175836,
