Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,99.000,10.122,0.866,1.225,11.675,18.787,21.347,27.209,40.055,40.055,0.099
1,101.000,9.963,0.740,1.005,11.687,18.924,20.887,22.606,29.227,29.735,0.100
2,94.000,10.649,0.664,0.846,11.659,19.183,21.358,29.753,37.082,37.082,0.094
3,116.000,8.541,0.636,0.770,1.054,17.621,20.846,27.424,30.639,36.801,0.117
4,107.000,9.326,0.644,0.804,1.235,19.027,27.055,28.141,36.118,45.657,0.107
5,97.000,10.585,0.586,0.804,11.682,19.168,21.305,28.514,37.434,37.434,0.094
6,79.000,12.245,0.616,0.804,11.752,19.216,21.216,30.146,55.271,55.271,0.082
7,110.000,9.113,0.614,0.756,11.554,18.588,20.480,20.730,28.909,28.991,0.110
8,116.000,8.718,0.582,0.656,1.075,18.114,20.112,27.226,28.384,28.935,0.115
9,117.000,8.522,0.588,0.828,11.698,14.605,19.627,20.479,24.766,29.020,0.117
10,106.000,9.389,0.542,0.779,11.079,19.116,20.534,27.079,28.297,28.866,0.107
11,98.000,10.105,0.631,0.905,11.646,18.611,21.185,29.013,37.000,37.000,0.099
12,99.000,10.084,0.837,1.116,11.563,18.847,21.467,28.671,43.855,43.855,0.099
13,89.000,11.372,0.668,0.970,11.593,20.000,28.483,29.667,52.066,52.066,0.088
14,98.000,10.105,0.658,1.002,11.686,18.274,20.465,21.458,49.678,49.678,0.099
15,114.000,8.864,0.882,1.113,11.582,16.163,20.217,21.373,28.521,34.640,0.113
16,97.000,10.142,0.894,1.109,11.707,17.381,20.203,26.169,28.900,28.900,0.099
17,112.000,8.986,0.851,1.088,1.201,17.936,20.236,25.460,28.771,30.320,0.111
18,109.000,9.101,0.856,1.074,1.130,17.892,20.686,28.477,36.907,37.413,0.110
19,98.000,10.250,0.698,1.084,11.672,18.776,21.341,28.324,43.994,43.994,0.098
20,94.000,10.729,0.855,1.085,11.540,17.924,26.224,33.733,56.480,56.480,0.093
21,104.000,9.468,0.766,1.087,4.035,18.668,21.322,27.797,29.768,30.892,0.106
22,95.000,10.551,0.743,0.984,11.612,18.923,21.011,28.586,68.244,68.244,0.095
23,123.000,8.089,0.728,0.995,1.122,14.926,19.095,20.211,21.403,34.212,0.124
24,122.000,8.247,0.740,0.988,1.076,15.536,19.685,20.475,28.649,32.697,0.121
25,120.000,8.421,0.532,0.932,3.529,16.813,19.498,20.539,26.114,27.506,0.119
26,102.000,9.657,0.629,0.717,11.628,18.671,20.372,21.580,36.244,65.564,0.104
27,106.000,9.525,0.631,0.701,0.988,19.042,21.317,27.405,30.178,45.608,0.105
28,105.000,9.536,0.624,0.682,10.423,19.026,20.703,28.329,29.546,32.224,0.105
29,68.000,14.474,0.646,0.969,12.491,20.468,28.796,29.939,94.502,94.502,0.069
30,102.000,9.817,0.523,0.701,11.582,18.067,21.347,28.464,35.300,43.872,0.102
31,115.000,8.682,0.620,0.860,11.590,13.055,19.211,21.186,36.106,37.154,0.115
32,125.000,8.051,0.708,0.923,1.145,13.053,20.168,21.323,25.836,28.863,0.124
33,103.000,9.666,0.692,0.962,11.565,17.686,20.015,27.889,52.005,59.458,0.103
34,117.000,8.577,0.664,0.849,1.026,18.484,20.433,20.807,24.384,26.515,0.117
35,117.000,8.522,0.623,0.782,0.978,17.524,20.401,20.869,27.045,27.458,0.117
36,114.000,8.732,0.637,0.935,11.986,13.352,19.506,20.714,21.664,28.204,0.115
37,123.000,8.182,0.624,0.705,0.954,16.898,19.706,20.719,21.639,32.208,0.122
38,126.000,7.949,0.475,0.749,0.978,13.349,19.896,20.689,22.948,32.783,0.126
39,98.000,10.115,0.604,0.682,11.928,19.385,20.380,28.704,51.618,51.618,0.099
40,106.000,9.522,0.436,0.678,1.043,19.475,23.762,27.369,32.002,32.440,0.105
41,120.000,8.245,0.645,0.942,1.102,13.759,19.692,20.572,28.923,28.948,0.121
42,119.000,8.428,0.716,0.942,1.461,16.353,19.477,20.529,20.821,29.972,0.119
43,118.000,8.421,0.710,0.897,1.009,18.400,20.599,20.703,21.632,21.650,0.119
