Linux 4.4.0-142-generic (vmuser) 	11/10/2024 	_x86_64_	(1 CPU)

02:21:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:21:24 AM  all   52.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
02:21:25 AM  all   13.86    0.00    1.98    0.99    0.00    0.00    0.00    0.00    0.00   83.17
02:21:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:21:27 AM  all    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
02:21:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:21:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:21:30 AM  all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:21:31 AM  all    0.00    0.00    2.02   15.15    0.00    0.00    0.00    0.00    0.00   82.83
02:21:32 AM  all    2.02    0.00    1.01   96.97    0.00    0.00    0.00    0.00    0.00    0.00
02:21:33 AM  all    9.09    0.00    4.04   22.22    0.00    0.00    0.00    0.00    0.00   64.65
02:21:34 AM  all    4.90    6.86    4.90    0.98    0.00    0.00    0.00    0.00    0.00   82.35
02:21:35 AM  all   74.75   15.15   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:36 AM  all   50.51   48.48    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:37 AM  all   53.47   43.56    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:38 AM  all   82.00    8.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:39 AM  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:40 AM  all   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:41 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:44 AM  all   98.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:45 AM  all   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:47 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:48 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:49 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:50 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:51 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:55 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:58 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:21:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:01 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:02 AM  all   98.97    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:03 AM  all   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:07 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:22:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
