Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,6,29,38359,8607571968,0,6,0,411.98973723046436,1974917889,1724939,0,0,1955573760,477435,51214
2,4,5,51,36446,8607571968,0,6,0,407.0290918470953,1853855982,1741576,0,0,1834598400,447900,35623
3,4,4,72,36390,8607571968,0,6,0,417.3636227120321,1898061687,1734905,0,0,1878777856,458686,28540
4,4,4,40,36951,8607571968,0,6,0,419.32151481852384,1936371591,1730241,0,0,1917054976,468031,77834
5,4,4,76,36571,8607571968,0,6,0,423.79788793174174,1936914761,1731766,0,0,1917583360,468160,42543
6,3,4,91,36323,8607571968,0,5,0,414.6390836752113,1882197226,1737364,0,0,1862922240,454815,39971
7,3,4,96,37926,8607571968,0,5,0,413.8628205263435,1961600851,1727725,0,0,1942257664,474184,45048
8,4,5,44,36848,8607571968,0,6,0,424.8333614526505,1956304532,1729761,0,0,1936953344,472889,63221
9,3,4,122,35951,8607571968,0,5,0,411.033256961638,1846714177,1742851,0,0,1827459072,446157,58480
10,3,4,107,35000,8607571968,0,5,0,442.4257677448851,1935179137,1730443,0,0,1915863040,467740,49576
