Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,5,33,36542,8607571968,0,5,0,368.1468665736103,1681160374,1753512,0,0,1662132224,405794,21301
2,3,5,102,35473,8607571968,0,5,0,434.3202629976317,1925346502,1732328,0,0,1906032640,465340,38444
3,3,3,142,36449,8607571968,0,5,0,420.7298730176151,1916527735,1736969,0,0,1897189376,463181,34312
4,3,5,68,36203,8607571968,0,5,0,423.28762274158794,1915058287,1733297,0,0,1895755776,462831,35689
5,4,5,56,36914,8607571968,0,6,0,417.66807922187,1926751482,1732940,0,0,1907429376,465681,70946
6,4,4,55,35537,8607571968,0,6,0,430.5647437593223,1912194720,1736146,0,0,1892872192,462127,54397
7,4,4,33,36945,8607571968,0,6,0,417.58946752930353,1928059155,1732773,0,0,1908736000,466000,64437
8,4,4,56,36203,8607571968,0,6,0,415.51904328848866,1879959321,1738595,0,0,1860677632,454267,60319
9,4,5,31,37957,8607571968,0,6,0,410.13599515177066,1945472751,1730529,0,0,1926135808,470248,70603
10,3,3,140,37609,8607571968,0,5,0,399.1376984523746,1876034152,1742050,0,0,1856729088,453303,64477
