Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,92,35764,8607571968,0,5,0,418.93000738255034,1872404749,1739151,0,0,1853132800,452425,31428
2,2,6,116,37160,8607571968,0,4,0,377.6559420789148,1753716251,1741341,0,0,1734656000,423500,10569
3,3,4,26,35402,8607571968,0,5,0,398.93631233403016,1764981064,1740354,0,0,1745907712,426247,25791
4,3,4,38,33853,8607571968,0,5,0,408.3484633519454,1727561008,1746762,0,0,1708503040,417115,23692
5,4,4,50,37578,8607571968,0,6,0,436.85686719540104,2051595081,1713779,0,0,2032201728,496143,77991
6,3,5,96,36337,8607571968,0,5,0,409.82565143675,1861010812,1741750,0,0,1841737728,449643,40032
7,3,6,155,35686,8607571968,0,5,0,427.8217264573991,1907872516,1733334,0,0,1888583680,461080,24302
8,3,6,89,39709,8607571968,0,5,0,402.86389119210133,1999150750,1718872,0,0,1979813888,483353,17478
9,3,6,156,38033,8607571968,0,5,0,400.61731990427853,1904071969,1735587,0,0,1884770304,460149,18477
10,4,4,42,35675,8607571968,0,6,0,434.8341552521656,1938658734,1728552,0,0,1919352832,468592,49679
