Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,5,141,36688,8607571968,0,5,0,424.67571856173157,1947085039,1731377,0,0,1927737344,470639,57120
2,3,4,36,33881,8607571968,0,5,0,416.25505635091656,1762471684,1738782,0,0,1743417344,425639,14457
3,3,4,122,36385,8607571968,0,5,0,416.47416574585634,1893755944,1737570,0,0,1874456576,457631,59592
4,4,4,70,38016,8607571968,0,6,0,392.2232069872672,1863436158,1740824,0,0,1844166656,450236,62469
5,4,4,72,36809,8607571968,0,6,0,411.85058747452797,1894557699,1738645,0,0,1875247104,457824,73202
6,4,4,75,36768,8607571968,0,6,0,412.55081318681323,1895664852,1736262,0,0,1876373504,458099,75567
7,2,4,122,35121,8607571968,0,4,0,409.9203872768175,1799184422,1734040,0,0,1780101120,434595,10825
8,3,4,102,35371,8607571968,0,5,0,432.9237960810926,1913689603,1733069,0,0,1894391808,462498,49198
9,3,3,125,35194,8607571968,0,5,0,451.1794397431162,1984469574,1721019,0,0,1965142016,479771,26999
10,2,4,142,34899,8607571968,0,4,0,406.7820790371113,1774120223,1738937,0,0,1755041792,428477,15532
