Time,Bitrate
0.10,539
0.20,942
0.30,941
0.40,940
0.50,942
0.60,940
0.70,942
0.80,941
0.90,941
1.00,941
1.10,941
1.20,941
1.30,940
1.40,942
1.50,941
1.60,941
1.70,941
1.80,940
1.90,942
2.00,940
2.10,942
2.20,941
2.30,941
2.40,941
2.50,940
2.60,942
2.70,941
2.80,941
2.90,941
3.00,941
3.10,941
3.20,940
3.30,899
3.40,985
3.50,941
3.60,941
3.70,940
3.80,942
3.90,940
4.00,942
4.10,941
4.20,940
4.30,942
4.40,940
4.50,942
4.60,940
4.70,942
4.80,940
4.90,942
5.00,941
5.10,941
5.20,941
5.30,940
5.40,942
5.50,941
5.60,941
5.70,941
5.80,940
5.90,942
6.00,940
6.10,942
6.20,941
6.30,941
6.40,942
6.50,940
6.60,942
6.70,941
6.80,941
6.90,941
7.00,940
7.10,942
7.20,940
7.30,942
7.40,941
7.50,941
7.60,941
7.70,941
7.80,941
7.90,940
8.00,942
8.10,941
8.20,941
8.30,941
8.40,940
8.50,942
8.60,940
8.70,942
8.80,941
8.90,941
9.00,941
9.10,940
9.20,942
9.30,940
9.40,942
9.50,941
9.60,941
9.70,941
9.80,940
9.90,942
10.00,940
10.10,942
10.20,941
10.30,941
10.40,941
10.50,940
10.60,942
10.70,941
10.80,941
10.90,941
11.00,940
11.10,942
11.20,940
11.30,942
11.40,941
11.50,941
11.60,941
11.70,940
11.80,942
11.90,940
12.00,942
12.10,941
12.20,941
12.30,941
12.40,941
12.50,941
12.60,940
12.70,942
12.80,941
12.90,941
13.00,941
13.10,940
13.20,942
13.30,940
13.40,942
13.50,941
13.60,941
13.70,941
13.80,940
13.90,942
14.00,940
14.10,942
14.20,941
14.30,941
14.40,941
14.50,940
14.60,942
14.70,941
14.80,941
14.90,941
15.00,941
15.10,941
15.20,940
15.30,906
15.40,974
15.50,938
15.60,939
15.70,940
15.80,942
15.90,940
16.00,942
16.10,941
16.20,940
16.30,941
16.40,940
16.50,942
16.60,940
16.70,942
16.80,941
16.90,940
17.00,942
17.10,940
17.20,942
17.30,940
17.40,938
17.50,938
17.60,940
17.70,942
17.80,940
17.90,942
18.00,941
18.10,941
18.20,941
18.30,940
18.40,942
18.50,940
18.60,942
18.70,940
18.80,942
18.90,941
19.00,941
19.10,942
19.20,940
19.30,942
19.40,941
19.50,941
19.60,941
19.70,940
19.80,942
19.90,940
20.00,942
20.10,914
20.20,942
20.30,940
20.40,942
20.50,941
20.60,940
20.70,942
20.80,940
20.90,942
21.00,941
21.10,941
21.20,941
21.30,940
21.40,940
21.50,937
21.60,938
21.70,938
21.80,938
21.90,938
22.00,937
22.10,938
22.20,937
