Time,Bitrate
0.10,558
0.20,942
0.30,942
0.40,941
0.50,942
0.60,942
0.70,941
0.80,942
0.90,942
1.00,942
1.10,942
1.20,941
1.30,942
1.40,942
1.50,942
1.60,942
1.70,941
1.80,941
1.90,942
2.00,942
2.10,942
2.20,941
2.30,942
2.40,941
2.50,942
2.60,942
2.70,941
2.80,942
2.90,942
3.00,941
3.10,942
3.20,942
3.30,941
3.40,942
3.50,941
3.60,941
3.70,942
3.80,942
3.90,942
4.00,942
4.10,940
4.20,942
4.30,942
4.40,942
4.50,942
4.60,941
4.70,941
4.80,942
4.90,942
5.00,942
5.10,941
5.20,942
5.30,941
5.40,942
5.50,942
5.60,941
5.70,942
5.80,940
5.90,942
6.00,943
6.10,941
6.20,942
6.30,942
6.40,940
6.50,942
6.60,942
6.70,942
6.80,942
6.90,941
7.00,941
7.10,942
7.20,942
7.30,942
7.40,941
7.50,942
7.60,940
7.70,942
7.80,942
7.90,941
8.00,941
8.10,942
8.20,940
8.30,942
8.40,942
8.50,941
8.60,942
8.70,940
8.80,942
8.90,942
9.00,941
9.10,942
9.20,941
9.30,940
9.40,942
9.50,942
9.60,942
9.70,941
9.80,942
9.90,942
10.00,941
10.10,942
10.20,941
10.30,941
10.40,942
10.50,940
10.60,942
10.70,942
10.80,942
10.90,942
11.00,940
11.10,942
11.20,942
11.30,942
11.40,942
11.50,941
11.60,942
11.70,941
11.80,942
11.90,942
12.00,941
12.10,941
12.20,941
12.30,942
12.40,942
12.50,942
12.60,941
12.70,942
12.80,940
12.90,942
13.00,942
13.10,942
13.20,942
13.30,941
13.40,940
13.50,942
13.60,942
13.70,942
13.80,941
13.90,942
14.00,942
14.10,941
14.20,942
14.30,941
14.40,942
14.50,942
14.60,940
14.70,942
14.80,942
14.90,941
15.00,942
15.10,942
15.20,940
15.30,941
15.40,939
15.50,938
15.60,940
15.70,941
15.80,941
15.90,942
16.00,942
16.10,942
16.20,941
16.30,942
16.40,940
16.50,942
16.60,942
16.70,941
16.80,941
16.90,942
17.00,939
17.10,939
17.20,937
17.30,941
17.40,942
17.50,940
17.60,942
17.70,942
17.80,941
17.90,942
18.00,941
18.10,940
18.20,942
18.30,942
18.40,942
18.50,941
18.60,941
18.70,941
18.80,942
18.90,942
19.00,941
19.10,942
19.20,942
19.30,941
19.40,942
19.50,942
19.60,942
19.70,942
19.80,940
19.90,942
20.00,942
20.10,926
20.20,942
20.30,941
20.40,938
20.50,938
20.60,937
20.70,938
20.80,939
20.90,939
21.00,935
21.10,938
21.20,938
21.30,938
21.40,937
21.50,938
21.60,932
21.70,935
21.80,938
21.90,937
22.00,939
22.10,937
22.20,887
22.30,938
22.40,939
22.50,935
22.60,938
22.70,938
22.80,937
22.90,902
23.00,898
23.10,923
23.20,927
23.30,936
23.40,941
23.50,940
23.60,942
23.70,942
23.80,942
23.90,942
24.00,941
24.10,941
24.20,942
24.30,941
24.40,942
24.50,941
24.60,942
24.70,941
24.80,942
24.90,942
25.00,941
25.10,942
25.20,942
25.30,940
25.40,942
25.50,941
25.60,937
25.70,942
25.80,941
25.90,917
26.00,942
26.10,942
26.20,942
26.30,942
26.40,941
26.50,941
26.60,942
26.70,942
26.80,942
26.90,941
27.00,942
27.10,941
27.20,942
27.30,942
27.40,941
27.50,942
27.60,942
27.70,940
27.80,939
27.90,938
28.00,938
28.10,938
28.20,937
28.30,938
28.40,939
28.50,938
28.60,938
28.70,937
28.80,937
28.90,938
29.00,939
29.10,938
29.20,938
29.30,936
29.40,929
29.50,904
29.60,929
29.70,938
29.80,938
29.90,938
30.00,937
30.10,939
30.20,938
30.30,935
30.40,894
30.50,938
30.60,938
30.70,937
30.80,939
30.90,806
31.00,865
31.10,889
31.20,917
31.30,932
31.40,937
31.50,917
31.60,879
31.70,939
31.80,938
31.90,938
32.00,890
32.10,938
32.20,939
32.30,355
32.40,244
32.50,942
32.60,941
32.70,942
32.80,942
32.90,942
33.00,941
33.10,942
33.20,941
33.30,942
33.40,941
33.50,942
33.60,940
33.70,937
33.80,942
33.90,942
34.00,942
34.10,942
34.20,940
34.30,942
34.40,942
34.50,941
34.60,942
34.70,942
34.80,940
34.90,943
35.00,941
35.10,942
35.20,942
35.30,940
35.40,935
35.50,942
35.60,942
35.70,941
35.80,941
35.90,942
36.00,942
36.10,941
36.20,941
36.30,942
36.40,940
36.50,942
36.60,942
36.70,941
36.80,942
36.90,942
37.00,940
37.10,942
37.20,941
37.30,942
37.40,932
37.50,941
37.60,942
37.70,940
37.80,942
37.90,942
38.00,941
38.10,942
38.20,942
38.30,935
38.40,948
38.50,942
38.60,941
38.70,942
38.80,940
38.90,942
39.00,942
39.10,941
39.20,942
39.30,926
39.40,893
39.50,942
39.60,942
39.70,941
39.80,942
39.90,941
40.00,941
40.10,942
40.20,942
40.30,942
40.40,941
40.50,940
40.60,942
40.70,942
40.80,942
40.90,941
41.00,942
41.10,941
41.20,942
41.30,942
41.40,941
41.50,942
41.60,942
41.70,941
41.80,942
41.90,941
42.00,941
42.10,942
42.20,940
42.30,942
42.40,942
42.50,941
42.60,942
42.70,940
42.80,942
42.90,942
43.00,941
43.10,942
43.20,942
43.30,940
43.40,942
43.50,942
43.60,942
43.70,942
43.80,940
43.90,942
44.00,942
44.10,942
44.20,942
44.30,941
44.40,941
44.50,942
44.60,942
44.70,942
44.80,941
44.90,940
45.00,942
45.10,942
45.20,941
45.30,942
45.40,942
45.50,940
45.60,942
45.70,942
45.80,941
