Time,Bitrate
0.10,554
0.20,942
0.30,942
0.40,942
0.50,941
0.60,941
0.70,942
0.80,942
0.90,942
1.00,941
1.10,942
1.20,942
1.30,941
1.40,942
1.50,942
1.60,941
1.70,942
1.80,941
1.90,941
2.00,942
2.10,942
2.20,942
2.30,941
2.40,942
2.50,942
2.60,941
2.70,942
2.80,942
2.90,941
3.00,942
3.10,941
3.20,941
3.30,942
3.40,942
3.50,942
3.60,941
3.70,941
3.80,941
3.90,942
4.00,942
4.10,941
4.20,941
4.30,942
4.40,941
4.50,942
4.60,942
4.70,942
4.80,942
4.90,941
5.00,941
5.10,942
5.20,942
5.30,942
5.40,941
5.50,940
5.60,942
5.70,942
5.80,942
5.90,941
6.00,942
6.10,941
6.20,942
6.30,942
6.40,942
6.50,941
6.60,941
6.70,943
6.80,940
6.90,942
7.00,942
7.10,941
7.20,942
7.30,940
7.40,942
7.50,941
7.60,942
7.70,942
7.80,941
7.90,942
8.00,940
8.10,942
8.20,942
8.30,941
8.40,942
8.50,941
8.60,940
8.70,942
8.80,942
8.90,942
9.00,942
9.10,941
9.20,941
9.30,941
9.40,941
9.50,942
9.60,941
9.70,942
9.80,940
9.90,942
10.00,942
10.10,941
10.20,941
10.30,942
10.40,941
10.50,941
10.60,942
10.70,942
10.80,941
10.90,941
11.00,942
11.10,940
11.20,942
11.30,942
11.40,942
11.50,942
11.60,941
11.70,941
11.80,942
11.90,942
12.00,942
12.10,941
12.20,942
12.30,940
12.40,942
12.50,942
12.60,942
12.70,941
12.80,941
12.90,941
13.00,942
13.10,942
13.20,941
13.30,942
13.40,940
13.50,942
13.60,943
13.70,941
13.80,942
13.90,942
14.00,940
14.10,942
14.20,942
14.30,942
14.40,942
14.50,941
14.60,941
14.70,942
14.80,942
14.90,942
15.00,941
15.10,942
15.20,940
15.30,942
15.40,943
15.50,941
15.60,942
15.70,942
15.80,940
15.90,938
16.00,938
16.10,910
16.20,970
16.30,941
16.40,942
16.50,940
16.60,938
16.70,939
16.80,938
16.90,938
17.00,937
17.10,938
17.20,939
17.30,939
17.40,938
17.50,938
17.60,938
17.70,937
17.80,938
17.90,911
18.00,938
18.10,938
18.20,937
18.30,939
18.40,938
18.50,938
18.60,939
18.70,937
18.80,938
18.90,939
19.00,938
19.10,938
19.20,938
19.30,938
19.40,935
19.50,938
19.60,938
19.70,938
19.80,938
19.90,938
20.00,938
20.10,902
20.20,937
20.30,939
20.40,911
20.50,966
20.60,926
20.70,945
20.80,939
20.90,938
21.00,938
21.10,938
21.20,937
21.30,939
21.40,939
21.50,938
21.60,938
21.70,938
21.80,937
21.90,938
22.00,938
22.10,939
22.20,938
22.30,938
22.40,937
22.50,939
22.60,939
22.70,938
22.80,938
22.90,938
23.00,938
23.10,938
23.20,939
23.30,939
23.40,583
23.50,0.00
23.60,20.3
23.70,942
23.80,918
23.90,942
24.00,942
24.10,941
24.20,942
24.30,790
24.40,969
24.50,929
24.60,884
24.70,957
24.80,942
24.90,920
25.00,941
25.10,942
25.20,941
25.30,941
25.40,942
25.50,942
25.60,942
25.70,878
25.80,907
25.90,942
26.00,942
26.10,942
26.20,942
26.30,941
26.40,941
26.50,942
26.60,942
26.70,942
26.80,941
26.90,941
27.00,914
27.10,942
27.20,942
27.30,941
27.40,942
27.50,942
27.60,942
27.70,941
27.80,940
27.90,942
28.00,942
28.10,942
28.20,942
28.30,941
28.40,941
28.50,942
28.60,942
28.70,941
28.80,941
28.90,942
29.00,941
29.10,942
29.20,942
29.30,942
29.40,942
29.50,940
29.60,942
29.70,942
29.80,941
29.90,942
30.00,941
30.10,941
30.20,920
30.30,942
30.40,942
30.50,941
30.60,941
30.70,942
30.80,942
30.90,942
31.00,941
31.10,942
31.20,941
31.30,942
31.40,942
31.50,941
31.60,941
31.70,930
31.80,952
31.90,942
32.00,941
32.10,942
32.20,918
32.30,964
32.40,943
32.50,941
32.60,942
32.70,942
32.80,941
32.90,941
33.00,942
33.10,942
33.20,942
33.30,941
33.40,942
33.50,941
33.60,942
33.70,942
33.80,941
33.90,941
34.00,942
34.10,940
34.20,942
34.30,942
34.40,942
34.50,942
34.60,940
34.70,942
34.80,942
34.90,942
35.00,941
35.10,940
35.20,941
35.30,942
35.40,942
35.50,941
35.60,942
35.70,942
35.80,940
35.90,942
36.00,942
36.10,942
36.20,785
36.30,942
36.40,940
36.50,902
36.60,983
36.70,942
36.80,935
36.90,942
37.00,942
37.10,942
37.20,942
37.30,941
37.40,940
37.50,942
37.60,942
37.70,941
37.80,941
37.90,939
38.00,943
38.10,942
38.20,940
38.30,888
38.40,1000.0
38.50,934
38.60,939
38.70,942
38.80,939
38.90,942
39.00,930
39.10,909
39.20,942
39.30,940
39.40,942
39.50,942
39.60,909
39.70,952
39.80,964
39.90,940
40.00,942
40.10,942
40.20,941
40.30,941
40.40,941
40.50,941
40.60,942
40.70,941
40.80,942
40.90,942
41.00,940
41.10,942
41.20,942
41.30,941
41.40,942
41.50,941
41.60,940
41.70,942
41.80,941
41.90,898
42.00,929
42.10,941
42.20,942
42.30,942
42.40,940
42.50,942
42.60,941
42.70,942
42.80,941
42.90,942
43.00,941
43.10,942
43.20,942
43.30,941
43.40,941
43.50,941
43.60,938
43.70,945
43.80,941
43.90,941
44.00,937
44.10,945
44.20,942
44.30,942
44.40,941
44.50,941
44.60,940
44.70,942
44.80,942
44.90,938
45.00,946
45.10,942
45.20,940
45.30,942
45.40,942
45.50,942
45.60,941
45.70,942
45.80,940
45.90,942
46.00,920
46.10,964
46.20,941
46.30,942
46.40,940
46.50,942
46.60,942
46.70,942
46.80,942
46.90,941
47.00,941
47.10,942
47.20,942
47.30,942
47.40,942
47.50,940
47.60,943
47.70,941
47.80,942
47.90,942
48.00,941
48.10,941
48.20,942
48.30,942
48.40,942
48.50,941
48.60,942
48.70,940
48.80,942
48.90,942
49.00,941
49.10,942
49.20,940
49.30,942
49.40,942
49.50,941
49.60,942
49.70,941
49.80,941
49.90,942
50.00,941
50.10,942
50.20,942
50.30,941
50.40,941
50.50,942
50.60,942
50.70,941
50.80,941
50.90,940
51.00,942
51.10,941
51.20,941
51.30,941
51.40,942
51.50,940
51.60,942
51.70,942
51.80,941
51.90,942
52.00,942
52.10,940
52.20,942
52.30,942
52.40,941
52.50,941
52.60,941
52.70,941
52.80,942
52.90,942
53.00,941
53.10,942
53.20,942
53.30,941
53.40,942
53.50,941
53.60,942
53.70,942
53.80,940
53.90,942
54.00,942
54.10,941
54.20,942
54.30,942
54.40,940
54.50,942
54.60,941
54.70,942
54.80,942
54.90,941
55.00,941
55.10,942
55.20,942
55.30,942
55.40,941
55.50,941
55.60,942
55.70,942
55.80,942
55.90,941
56.00,942
56.10,940
56.20,942
56.30,942
56.40,941
56.50,942
56.60,942
56.70,940
56.80,943
56.90,941
57.00,942
57.10,942
57.20,940
57.30,942
57.40,942
57.50,942
57.60,942
57.70,941
57.80,941
57.90,941
58.00,942
58.10,942
58.20,941
58.30,942
58.40,941
58.50,942
58.60,942
58.70,941
58.80,941
58.90,941
59.00,942
59.10,942
59.20,941
59.30,941
59.40,942
59.50,940
59.60,942
59.70,942
59.80,942
59.90,942
60.00,940
60.10,942
60.20,942
60.30,941
60.40,941
60.50,942
60.60,940
60.70,942
60.80,942
60.90,942
61.00,941
61.10,942
61.20,942
61.30,941
61.40,942
61.50,941
61.60,941
61.70,942
61.80,941
61.90,941
62.00,942
62.10,941
62.20,942
62.30,941
62.40,941
62.50,942
62.60,942
62.70,942
62.80,941
62.90,941
63.00,942
63.10,942
63.20,942
63.30,942
63.40,940
63.50,942
63.60,942
63.70,941
63.80,942
63.90,941
64.00,942
64.10,941
64.20,942
64.30,942
64.40,941
64.50,942
64.60,940
64.70,942
64.80,943
64.90,941
65.00,942
65.10,942
65.20,940
65.30,943
65.40,941
65.50,942
65.60,942
65.70,940
65.80,942
65.90,942
66.00,942
66.10,942
66.20,941
66.30,941
66.40,942
66.50,942
66.60,942
66.70,941
66.80,942
66.90,940
67.00,942
67.10,942
67.20,941
67.30,942
67.40,942
67.50,941
67.60,942
67.70,942
67.80,941
67.90,942
68.00,940
68.10,942
68.20,942
68.30,942
68.40,942
68.50,941
68.60,941
68.70,942
68.80,942
68.90,942
69.00,941
69.10,942
69.20,941
69.30,941
69.40,942
69.50,941
69.60,941
69.70,942
69.80,940
69.90,942
70.00,941
70.10,942
70.20,941
70.30,941
70.40,942
70.50,942
70.60,942
70.70,940
70.80,943
70.90,940
71.00,943
71.10,941
71.20,942
71.30,942
71.40,940
71.50,942
71.60,942
71.70,942
71.80,942
71.90,941
72.00,941
72.10,941
72.20,942
72.30,942
72.40,941
72.50,942
72.60,940
72.70,942
72.80,943
72.90,941
73.00,942
73.10,942
73.20,940
73.30,943
73.40,941
73.50,942
73.60,942
73.70,941
