Time,Bitrate
0.10,558
0.20,942
0.30,942
0.40,940
0.50,943
0.60,941
0.70,928
0.80,955
0.90,941
1.00,941
1.10,942
1.20,942
1.30,942
1.40,941
1.50,942
1.60,940
1.70,942
1.80,943
1.90,941
2.00,942
2.10,942
2.20,941
2.30,941
2.40,942
2.50,942
2.60,942
2.70,941
2.80,942
2.90,942
3.00,940
3.10,943
3.20,941
3.30,942
3.40,942
3.50,940
3.60,942
3.70,942
3.80,941
3.90,942
4.00,941
4.10,942
4.20,940
4.30,942
4.40,942
4.50,942
4.60,942
4.70,942
4.80,940
4.90,942
5.00,942
5.10,942
5.20,941
5.30,941
5.40,942
5.50,941
5.60,941
5.70,942
5.80,941
5.90,942
6.00,942
6.10,942
6.20,942
6.30,941
6.40,941
6.50,942
6.60,942
6.70,942
6.80,941
6.90,940
7.00,942
7.10,942
7.20,942
7.30,942
7.40,941
7.50,942
7.60,940
7.70,942
7.80,942
7.90,941
8.00,941
8.10,942
8.20,941
8.30,942
8.40,942
8.50,942
8.60,907
8.70,942
8.80,942
8.90,941
9.00,942
9.10,940
9.20,942
9.30,942
9.40,942
9.50,941
9.60,942
9.70,942
9.80,940
9.90,942
10.00,942
10.10,941
10.20,941
10.30,941
10.40,942
10.50,942
10.60,940
10.70,942
10.80,941
10.90,942
11.00,942
11.10,941
11.20,942
11.30,941
11.40,942
11.50,942
11.60,941
11.70,942
11.80,942
11.90,940
12.00,942
12.10,942
12.20,942
12.30,942
12.40,941
12.50,941
12.60,941
12.70,942
12.80,942
12.90,941
13.00,942
13.10,942
13.20,940
13.30,943
13.40,941
13.50,942
13.60,942
13.70,940
13.80,942
13.90,941
14.00,942
14.10,942
14.20,941
14.30,924
14.40,941
14.50,942
14.60,940
14.70,942
14.80,942
14.90,941
15.00,942
15.10,941
15.20,940
15.30,942
15.40,939
15.50,939
15.60,939
15.70,941
15.80,942
15.90,942
16.00,940
16.10,942
16.20,941
16.30,942
16.40,942
16.50,941
16.60,941
16.70,942
16.80,941
16.90,942
17.00,940
17.10,938
17.20,938
17.30,941
17.40,941
17.50,940
17.60,941
17.70,942
17.80,942
17.90,942
18.00,941
18.10,941
18.20,937
18.30,945
18.40,942
18.50,942
18.60,942
18.70,941
18.80,940
18.90,942
19.00,942
19.10,941
19.20,941
19.30,942
19.40,942
19.50,941
19.60,942
19.70,942
19.80,941
19.90,941
20.00,942
20.10,919
20.20,942
20.30,941
20.40,942
20.50,940
20.60,937
20.70,938
20.80,939
20.90,938
21.00,924
21.10,939
21.20,938
21.30,937
21.40,938
21.50,938
21.60,918
21.70,935
21.80,934
21.90,938
22.00,912
22.10,939
22.20,938
22.30,895
22.40,938
22.50,938
22.60,938
22.70,937
22.80,939
22.90,942
23.00,941
23.10,941
23.20,941
23.30,942
23.40,940
23.50,942
23.60,941
23.70,942
23.80,941
23.90,942
24.00,942
24.10,941
24.20,942
24.30,941
24.40,942
24.50,942
24.60,940
24.70,942
24.80,942
24.90,942
25.00,942
25.10,941
25.20,942
25.30,941
25.40,942
25.50,942
25.60,941
25.70,942
25.80,941
25.90,918
26.00,941
26.10,942
26.20,914
26.30,963
26.40,942
26.50,940
26.60,942
26.70,941
26.80,942
26.90,941
27.00,941
27.10,941
27.20,942
27.30,942
27.40,941
27.50,942
27.60,941
27.70,940
27.80,943
27.90,940
28.00,942
28.10,941
28.20,941
28.30,942
28.40,940
28.50,942
28.60,942
28.70,941
28.80,942
28.90,941
29.00,941
29.10,941
29.20,942
29.30,942
29.40,941
29.50,942
29.60,938
29.70,919
29.80,941
29.90,942
30.00,942
30.10,942
30.20,941
30.30,940
30.40,942
30.50,942
30.60,940
30.70,938
30.80,938
30.90,938
31.00,937
31.10,938
31.20,939
31.30,938
31.40,938
31.50,938
31.60,892
31.70,938
31.80,938
31.90,938
32.00,937
32.10,844
32.20,925
32.30,934
32.40,938
32.50,939
32.60,938
32.70,938
32.80,938
32.90,937
33.00,938
33.10,896
33.20,934
33.30,936
33.40,938
33.50,938
33.60,938
33.70,938
33.80,938
33.90,937
34.00,938
34.10,889
34.20,929
34.30,937
34.40,937
34.50,938
34.60,939
34.70,938
34.80,939
34.90,938
35.00,922
35.10,864
35.20,929
35.30,937
35.40,935
35.50,939
35.60,938
35.70,938
35.80,938
35.90,938
36.00,938
36.11,671
36.20,26.8
36.30,942
36.40,940
36.50,942
36.60,942
36.70,942
36.80,942
36.90,942
37.00,940
37.10,943
37.20,941
37.30,778
37.40,771
37.50,941
37.60,942
37.70,940
37.80,942
37.90,941
38.00,942
38.10,942
38.20,941
38.30,941
38.40,940
38.50,942
38.60,941
38.70,942
38.80,940
38.90,942
39.00,942
39.10,941
39.20,941
39.30,940
39.40,942
39.50,942
39.60,941
39.70,942
39.80,935
39.90,942
40.00,880
40.10,941
40.20,940
40.30,942
40.40,942
40.50,942
40.60,942
40.70,941
40.80,941
40.90,942
41.00,942
41.10,941
41.20,942
41.30,940
41.40,942
41.50,942
41.60,942
41.70,941
41.80,942
41.90,941
42.00,942
42.10,942
42.20,941
42.30,942
42.40,942
42.50,941
42.60,942
42.70,941
42.80,942
42.90,942
43.00,940
43.10,942
43.20,938
43.30,941
43.40,942
43.50,942
43.60,941
43.70,942
43.80,940
43.90,942
44.00,942
44.10,941
44.20,942
44.30,942
44.40,941
44.50,942
44.60,942
44.70,942
44.80,942
44.90,940
45.00,942
45.10,942
45.20,942
45.30,942
45.40,941
45.50,941
45.60,942
45.70,942
45.80,942
