Linux 4.4.0-142-generic (vmuser) 	11/10/2024 	_x86_64_	(1 CPU)

02:25:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:25:01 AM  all   54.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
02:25:02 AM  all   15.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   82.00
02:25:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:25:04 AM  all    0.00    0.00    0.99    5.94    0.00    0.00    0.00    0.00    0.00   93.07
02:25:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:25:06 AM  all    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:25:07 AM  all    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:25:08 AM  all    1.00    0.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00   90.00
02:25:09 AM  all    1.00    0.00    3.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:10 AM  all    1.01    0.00    1.01   12.12    0.00    0.00    0.00    0.00    0.00   85.86
02:25:11 AM  all   12.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
02:25:12 AM  all   69.00   13.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:13 AM  all   52.00   48.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:14 AM  all   54.00   44.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:15 AM  all   77.78   11.11   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:16 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:17 AM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:21 AM  all   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:22 AM  all   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:23 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:24 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:25 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:26 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:27 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:28 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:29 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:30 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:31 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:32 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:33 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:34 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:35 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:36 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:37 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:38 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:39 AM  all   97.85    0.00    1.08    0.00    0.00    1.08    0.00    0.00    0.00    0.00
02:25:40 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:41 AM  all   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:42 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:43 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:44 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:45 AM  all   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:46 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:25:47 AM  all   91.92    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00
