Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,3,4,105,31097,8607571968,0,5,0,487.97393728491943,1896359320,1780138,0,0,1876672512,458172,25312
2,3,4,84,28870,8607571968,0,5,0,478.21956100602785,1725323347,1765349,0,0,1706102784,416529,11698
3,3,4,53,29583,8607571968,0,5,0,474.94018107441093,1755819568,1761178,0,0,1736577024,423969,16545
4,3,4,85,29174,8607571968,0,5,0,471.6142650668495,1719411130,1766444,0,0,1700192256,415086,14977
5,4,5,59,30257,8607571968,0,6,0,464.0416519899511,1754561097,1762707,0,0,1735307264,423659,61775
6,3,4,34,28805,8607571968,0,5,0,474.69507836533455,1708749235,1763285,0,0,1689579520,412495,28567
7,3,4,91,29245,8607571968,0,5,0,459.99939263363086,1681142896,1772546,0,0,1661943808,405748,23487
8,3,4,78,30100,8607571968,0,5,0,469.7623787878788,1767033685,1759575,0,0,1747783680,426705,47779
9,3,4,85,31190,8607571968,0,5,0,498.3099713974219,1942324462,1771968,0,0,1922621440,469390,12162
10,3,4,106,31362,8607571968,0,5,0,494.6326786147076,1938624058,1772580,0,0,1918922752,468487,23654
