Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,21,30872,8607571968,0,6,0,490.9854777763379,1894255056,1770682,0,0,1874657280,457680,38609
2,3,4,53,28977,8607571968,0,5,0,479.123385772961,1734992848,1760842,0,0,1715793920,418895,14105
3,3,4,124,28156,8607571968,0,5,0,454.603210571185,1599536314,1767692,0,0,1580539904,385874,16631
4,3,3,118,29832,8607571968,0,5,0,478.53259257769287,1784056204,1755830,0,0,1764806656,430861,11931
5,3,4,186,29135,8607571968,0,5,0,466.9239825615324,1700032933,1768367,0,0,1680834560,410360,11386
6,3,5,71,29464,8607571968,0,5,0,487.443048575987,1794735712,1755018,0,0,1775472640,433465,11492
7,3,4,189,29855,8607571968,0,5,0,491.6763485310375,1834416451,1748085,0,0,1815138304,443149,4492
8,3,4,60,28934,8607571968,0,5,0,488.00556543380577,1764537742,1756304,0,0,1745321984,426104,34938
9,3,4,40,30000,8607571968,0,5,0,484.08539271902924,1814865796,1750454,0,0,1795604480,438380,51346
10,2,4,69,28151,8607571968,0,4,0,460.0837105197712,1618534667,1763693,0,0,1599537152,390512,6464
