Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages
1,4,4,44,30532,8607571968,0,6,0,474.690589884696,1811206881,1776195,0,0,1791721472,437432,57205
2,3,4,104,29594,8607571968,0,5,0,471.1858730652247,1742586364,1767350,0,0,1723314176,420731,47587
3,3,4,65,30117,8607571968,0,5,0,468.0906218576694,1761739228,1776870,0,0,1742344192,425377,58226
4,3,4,57,28839,8607571968,0,5,0,467.2761455176001,1684026073,1773699,0,0,1664811008,406448,14716
5,3,4,65,30018,8607571968,0,5,0,475.72409142400215,1784585476,1756726,0,0,1765326848,430988,55692
6,3,5,84,29940,8607571968,0,5,0,467.60995009186576,1749525598,1764544,0,0,1730265088,422428,11324
7,4,4,30,29799,8607571968,0,6,0,501.31343487162275,1866866814,1748544,0,0,1847521280,451055,25108
8,3,4,119,30022,8607571968,0,5,0,467.3667135718569,1753464367,1775825,0,0,1734094848,423363,72500
9,3,5,167,29393,8607571968,0,5,0,469.32919314005716,1723868407,1766481,0,0,1704640512,416172,13549
10,4,4,105,31654,8607571968,0,6,0,501.58711304897315,1984191606,1787720,0,0,1964265472,479557,38610
