Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,111.000,9.056,0.698,1.103,6.904,17.616,20.249,20.413,22.903,26.541,0.110
1,114.000,8.735,0.563,0.864,5.032,17.244,19.824,20.733,29.110,32.815,0.114
2,126.000,7.937,0.503,0.787,1.101,13.305,19.463,20.750,28.176,29.866,0.126
3,134.000,7.493,0.522,0.729,1.028,13.337,20.170,20.740,21.502,26.910,0.133
4,126.000,7.888,0.477,0.750,2.708,13.319,19.435,20.346,22.106,24.657,0.127
5,107.000,9.509,0.485,0.756,11.907,17.628,20.136,20.869,54.820,58.294,0.105
6,120.000,8.254,0.444,0.654,11.381,13.242,19.621,21.150,26.458,28.947,0.121
7,120.000,8.308,0.463,0.683,1.820,16.709,20.381,20.820,21.503,21.660,0.120
8,109.000,9.088,0.449,0.750,11.901,17.420,20.377,20.780,21.596,28.550,0.110
9,124.000,8.099,0.442,0.642,1.210,13.336,19.519,20.598,29.161,29.228,0.123
10,114.000,8.792,0.442,0.749,11.977,13.340,19.242,19.616,20.877,21.609,0.114
11,98.000,10.077,0.606,1.059,11.994,18.783,20.617,22.654,62.514,62.514,0.099
12,106.000,9.488,0.910,1.140,1.331,18.047,20.467,21.592,29.850,71.590,0.105
13,99.000,10.046,0.701,1.011,11.910,19.247,21.055,21.545,28.883,28.883,0.100
14,117.000,8.548,0.734,1.093,1.182,17.887,20.363,23.134,29.028,29.056,0.117
15,123.000,8.176,0.955,1.159,1.256,13.583,19.203,20.371,22.301,27.422,0.122
16,117.000,8.618,0.867,1.143,11.869,14.023,19.386,20.479,28.928,33.256,0.116
17,106.000,9.261,0.963,1.144,11.998,18.142,19.525,20.503,21.620,22.369,0.108
18,108.000,9.251,0.874,1.098,1.200,17.991,20.445,20.559,49.422,60.108,0.108
19,120.000,8.411,0.791,1.034,1.116,16.389,20.407,22.614,29.884,35.952,0.119
20,106.000,9.393,0.819,1.077,11.897,17.135,20.589,21.558,27.622,36.487,0.106
21,98.000,10.321,0.770,1.089,11.933,19.112,21.549,27.649,36.032,36.032,0.097
22,82.000,12.134,0.635,1.081,11.906,17.542,20.441,21.707,267.760,267.760,0.082
23,120.000,8.370,0.459,0.944,1.075,16.516,19.702,20.653,29.012,29.249,0.119
24,109.000,9.005,0.639,0.936,11.973,17.551,20.743,20.953,27.150,29.173,0.111
25,107.000,9.414,0.640,0.921,11.882,17.630,20.691,21.627,49.856,54.243,0.106
26,103.000,9.726,0.533,0.822,11.923,19.302,20.673,21.581,29.354,37.060,0.103
27,120.000,8.236,0.446,0.672,0.962,17.680,20.386,20.739,28.398,34.460,0.121
28,106.000,9.497,0.612,0.683,3.351,19.454,20.844,21.712,29.058,30.020,0.105
29,97.000,10.373,0.530,0.700,11.945,18.421,20.629,21.522,102.427,102.427,0.096
30,115.000,8.696,0.588,0.674,11.337,18.179,19.720,20.341,21.622,29.291,0.115
31,113.000,8.753,0.607,0.718,0.957,13.369,19.404,20.805,28.534,82.487,0.114
32,122.000,8.238,0.391,0.669,11.367,13.323,19.591,20.309,20.988,30.750,0.121
33,104.000,9.606,0.468,0.674,11.920,18.930,19.662,20.615,26.778,28.817,0.104
34,90.000,11.031,0.604,0.719,11.908,19.424,21.523,23.162,77.470,77.470,0.091
35,117.000,8.535,0.578,0.671,0.941,16.991,19.599,20.827,29.205,37.672,0.117
36,114.000,8.821,0.401,0.725,11.953,13.329,19.418,20.647,27.452,42.979,0.113
37,134.000,7.411,0.600,0.664,0.936,13.346,19.547,20.670,22.072,28.722,0.135
38,118.000,8.512,0.607,0.669,11.993,13.335,19.346,20.444,29.236,30.467,0.117
39,115.000,8.680,0.394,0.676,11.229,17.888,19.644,20.873,28.676,29.197,0.115
40,122.000,8.188,0.604,0.670,0.934,17.645,20.083,20.897,50.091,50.866,0.122
41,112.000,8.932,0.606,0.722,11.796,17.650,20.085,20.887,27.013,28.004,0.112
42,118.000,8.525,0.605,0.675,0.946,17.579,20.716,26.810,28.596,29.144,0.117
43,131.000,7.569,0.579,0.666,0.928,13.350,19.896,20.440,21.656,28.573,0.132
44,126.000,7.964,0.404,0.667,11.337,13.301,18.663,19.519,20.839,25.264,0.126
45,121.000,8.329,0.611,0.684,11.282,13.314,19.560,20.216,20.917,29.387,0.120
46,105.000,9.522,0.620,0.780,11.898,17.685,20.815,21.669,45.200,48.571,0.105
47,114.000,8.628,0.611,0.670,1.352,17.403,20.379,20.912,27.876,35.763,0.116
48,103.000,9.859,0.407,0.725,11.917,18.949,20.354,21.569,28.959,35.780,0.101
49,118.000,8.348,0.540,0.700,11.351,13.320,19.630,20.939,27.786,29.155,0.120
50,122.000,8.214,0.609,0.698,11.965,13.330,19.403,20.601,20.924,22.698,0.122
51,115.000,8.659,0.560,0.671,11.381,13.331,19.529,20.325,20.855,27.930,0.115
52,101.000,9.880,0.531,0.667,11.321,18.021,20.873,28.489,55.817,57.337,0.101
53,118.000,8.480,0.532,0.790,0.966,17.561,20.395,20.769,22.327,27.464,0.118
54,121.000,8.286,0.612,0.793,0.943,13.271,20.365,20.726,21.584,23.119,0.121
55,131.000,7.631,0.555,0.658,0.924,13.327,19.402,20.852,21.543,28.611,0.131
56,123.000,8.149,0.375,0.673,2.584,13.327,19.593,19.828,21.544,25.940,0.123
57,120.000,8.333,0.496,0.807,1.017,17.691,20.354,20.795,21.667,28.118,0.120
58,108.000,9.484,0.619,0.827,11.891,17.644,19.904,21.644,50.075,51.692,0.105
59,99.000,9.643,0.619,0.721,11.917,18.551,20.389,20.892,31.571,31.571,0.104
