Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,9.999,0.648,0.948,2.059,19.129,27.468,28.492,43.063,43.063,0.100
1,115.000,8.693,0.546,0.793,11.049,14.399,20.098,21.258,27.960,28.882,0.115
2,122.000,8.239,0.480,0.678,11.143,13.054,19.310,20.154,20.642,21.376,0.121
3,114.000,8.716,0.453,0.696,11.001,16.476,20.111,20.769,28.825,28.889,0.115
4,94.000,10.588,0.677,1.046,11.734,19.005,20.276,21.830,29.823,29.823,0.094
5,101.000,9.919,0.714,1.016,5.608,18.962,21.334,28.504,34.329,37.193,0.101
6,95.000,10.664,0.440,0.840,11.206,18.855,26.764,29.698,78.284,78.284,0.094
7,108.000,9.126,0.423,0.890,1.068,17.961,25.810,27.300,38.472,45.813,0.110
8,122.000,8.205,0.454,0.826,1.001,15.915,20.577,27.631,28.913,35.944,0.122
9,108.000,9.194,0.447,0.848,1.009,19.048,21.367,27.511,35.095,44.063,0.109
10,132.000,7.621,0.432,0.971,1.108,16.275,19.474,20.512,21.402,27.669,0.131
11,115.000,8.688,0.694,0.999,11.693,14.313,19.326,20.389,26.705,28.697,0.115
12,114.000,8.668,0.713,1.112,1.288,18.775,20.167,20.362,21.231,21.497,0.115
13,86.000,11.896,1.004,1.185,11.709,18.981,27.165,28.459,53.121,53.121,0.084
14,87.000,11.378,0.741,1.135,11.685,18.929,28.498,30.025,45.524,45.524,0.088
15,96.000,10.258,0.613,1.138,11.589,18.919,21.167,28.512,46.359,46.359,0.097
16,82.000,12.223,1.006,1.186,11.726,20.092,28.345,35.629,44.019,44.019,0.082
17,125.000,8.025,0.906,1.146,1.195,15.418,20.122,27.739,28.714,30.995,0.125
18,121.000,8.287,0.821,1.031,1.135,17.916,19.339,20.211,28.482,28.750,0.121
19,102.000,9.890,0.660,1.049,11.716,18.891,20.199,21.231,28.645,28.688,0.101
20,112.000,8.777,0.875,1.099,1.188,16.862,20.220,20.637,53.153,56.100,0.114
21,77.000,12.926,0.878,1.161,11.683,17.804,20.157,26.642,272.557,272.557,0.077
22,130.000,7.707,0.627,0.858,1.008,14.795,19.877,24.387,28.635,29.861,0.130
23,105.000,9.454,0.644,0.887,1.075,17.193,21.344,28.018,36.862,43.831,0.106
24,83.000,12.028,0.627,0.991,11.788,20.153,27.148,28.901,37.202,37.202,0.083
25,102.000,9.816,0.706,0.923,11.227,18.106,20.466,26.943,37.203,54.266,0.102
26,90.000,11.203,0.691,0.951,11.723,19.104,21.338,28.794,29.797,29.797,0.089
27,104.000,9.645,0.649,0.831,11.619,18.879,20.364,21.200,50.149,53.662,0.104
28,103.000,9.623,0.640,0.827,11.711,19.053,20.386,21.423,27.997,29.142,0.104
29,85.000,11.767,0.725,0.938,11.708,19.092,20.652,29.555,103.295,103.295,0.085
30,100.000,10.005,0.659,0.943,11.710,19.087,20.521,28.731,36.881,36.881,0.100
31,102.000,9.710,0.683,0.860,0.959,19.295,25.727,28.609,35.356,37.384,0.103
32,94.000,10.673,0.683,0.934,11.691,19.097,21.326,27.924,36.806,36.806,0.094
33,97.000,10.264,0.678,0.838,11.690,18.185,20.501,28.045,52.339,52.339,0.097
34,110.000,9.145,0.650,0.936,1.071,18.055,20.190,21.285,46.514,55.588,0.109
35,107.000,9.302,0.695,0.994,11.661,18.220,20.064,20.357,29.707,55.901,0.107
36,117.000,8.527,0.641,0.827,1.017,17.995,20.164,20.502,21.516,26.211,0.117
37,119.000,8.377,0.678,0.856,0.961,17.647,20.196,20.485,29.691,35.297,0.119
38,115.000,8.826,0.619,0.790,11.691,17.919,19.429,20.721,21.499,25.475,0.113
39,103.000,9.581,0.671,0.928,0.954,19.061,21.359,28.818,36.232,36.794,0.104
40,109.000,9.234,0.449,0.932,1.794,18.165,20.524,27.292,44.528,76.687,0.108
41,101.000,9.972,0.475,0.768,3.652,19.044,21.377,29.624,35.042,45.070,0.100
